Feature,Importance
macd,0.005435235009434056
stoch,0.0047742721519634735
rsi,0.0029735187226760753
Taker buy base asset volume,0.0021803909094558795
aroon_down,0.0019776546913554704
Number of trades,0.0017587282443017145
obv,0.0016023366258681676
Close,0.0014368532479760972
aroon_up,0.00129687542075568
Quote asset volume,0.001174250347664414
Close_MA_7,0.0011532664747465411
Close_MA_25,0.0010501058162146824
Taker buy quote asset volume,0.0010311143392615846
bollinger_lband,0.0009530288185247947
bollinger_hband,0.0006999386652107253
Open,0.0006477025023688674
Low,0.0005937793839158162
High,0.0004562223997534549
Close_MA_14,0.00038199911360037043
Close_MA_50,0.00024676781597701654
Volume,0.0001147384462619983
