feature,importance
rsi,4.5934928383962256e-07
aroon_up,2.4048683394191737e-07
macd,2.2558672302547933e-07
aroon_down,1.6935820445579843e-07
stoch,1.4274095053606677e-07
obv,1.0454280720562981e-07
Close_MA_50,6.98400056434732e-08
Low,5.817332527648105e-08
Close_MA_7,5.653449169406712e-08
Volume,5.5013699707011955e-08
Open,5.087382433888785e-08
bollinger_hband,4.579147441567988e-08
bollinger_lband,4.535621833738137e-08
Close_MA_25,4.3925935372263425e-08
Taker buy base asset volume,3.45586509710546e-08
High,3.080943034855032e-08
Number of trades,2.4074757024930278e-08
Close_MA_14,1.5100850277878028e-08
Close,1.0132528994819992e-08
Taker buy quote asset volume,7.469261774504664e-09
Quote asset volume,5.996745430091072e-09
