Feature,Importance
macd,0.005434360741525291
stoch,0.004776408827817465
rsi,0.0029728684262618206
Taker buy base asset volume,0.002182694767537159
aroon_down,0.0019789194034365003
Number of trades,0.0017543511976428736
obv,0.0016043793034436352
Close,0.001432726387404992
aroon_up,0.001301152412002337
Quote asset volume,0.0011742956585094751
Close_MA_7,0.0011522276045358877
Close_MA_25,0.0010482332852997916
Taker buy quote asset volume,0.0010309553049929843
bollinger_lband,0.0009486509603667906
bollinger_hband,0.0006978509886401605
Open,0.0006450534543378485
Low,0.0005980352278358779
High,0.00045635564970906875
Close_MA_14,0.00037820075482861577
Close_MA_50,0.0002480891406258153
Volume,0.00011505724249461474
