feature,importance
aroon_up,4.1103855564651326e-07
stoch,3.3016930348225044e-07
rsi,2.9277294082887046e-07
bollinger_hband,2.625308241437617e-07
macd,1.6765789872312095e-07
Open,1.6364568105873622e-07
aroon_down,1.330560181064429e-07
obv,1.1128623634830051e-07
Close_MA_7,1.1095793811539718e-07
High,1.0635022564971018e-07
Close,9.552354779459233e-08
bollinger_lband,8.41005030772919e-08
Volume,7.514314173226007e-08
Quote asset volume,6.057846105946973e-08
Close_MA_25,5.6740611235758045e-08
Taker buy base asset volume,5.147462222136654e-08
Low,4.800617983845809e-08
Number of trades,4.429350325304223e-08
Close_MA_14,4.107350012100773e-08
Taker buy quote asset volume,3.0936440365101126e-08
Close_MA_50,2.729700085341201e-08
