Feature,Score,MeanScore
stoch,[0.07658118 0.02550894 0.05926846],0.053786192909871806
aroon_down,[0.02312665 0.00377232 0.02682916],0.017909374154132723
Taker buy base asset volume,[0.00474142 0.00572348 0.00387184],0.004778910877257312
Number of trades,[0.00583791 0.00497029 0.00211174],0.004306647402723135
Quote asset volume,[0.00609426 0.00398645 0.00211337],0.004064692934457955
Close,[0.00525644 0.00330783 0.00193999],0.00350142017428276
rsi,[0.00262989 0.00134281 0.00147622],0.001816305484036637
obv,[0.00137633 0.00049742 0.00139303],0.001088925581792684
Close_MA_7,[0.00115508 0.00075396 0.00037659],0.0007618773320464015
Low,[0.00110361 0.00072995 0.00035036],0.0007279731240409326
aroon_up,[0.0007394  0.00050454 0.00022927],0.0004910683523775538
High,[0.00054447 0.00025344 0.00027036],0.0003560907319271778
Volume,[2.19369024e-05 1.12657575e-04 1.38468178e-04],9.102088504710053e-05
Close_MA_25,[5.22650996e-05 2.28503564e-05 3.18639918e-05],3.565981592912114e-05
Close_MA_50,[4.37354638e-05 2.73185959e-05 2.81537023e-05],3.306925398703602e-05
Open,[3.57915119e-05 1.83783921e-05 1.93194435e-05],2.4496449150226577e-05
bollinger_lband,[3.52036651e-05 1.61557223e-05 1.19005028e-05],2.1086630061789252e-05
bollinger_hband,[2.63332111e-05 2.18592348e-05 8.43603850e-06],1.8876161447863952e-05
Close_MA_14,[2.44953711e-05 1.64226153e-05 1.52235926e-05],1.8713859670001244e-05
Taker buy quote asset volume,[2.00893809e-05 1.40667767e-05 1.81260669e-05],1.7427408174012667e-05
macd,[2.28361532e-05 2.79303175e-06 1.89245768e-05],1.4851253902866927e-05
