Feature,Importance
stoch,0.005493030893977431
macd,0.003482530977870542
phase,0.002999162541067881
rsi,0.0029129287697368337
bollinger_hband,0.0024537950436239932
aroon_up,0.0020371122703661407
Taker buy base asset volume,0.0017975232630185153
aroon_down,0.0014202479305836966
Number of trades,0.001263714625302795
Quote asset volume,0.0012366199532122745
Taker buy quote asset volume,0.0009266527382714828
Close_MA_50,0.0008855488621671031
Open,0.0008828068302256795
High,0.0008489860889584024
Close_MA_25,0.0007952675389465554
Volume,0.0007945617521057076
bollinger_lband,0.000780385436936075
Low,0.0006186729461173472
Close,0.00041194266124647435
Close_MA_7,0.000400121625204612
obv,0.00036872483952907605
Close_MA_14,0.00021746320828041732
