feature,Importance
Phase,1.151937465206247e-06
Stoch,9.939713200703362e-07
MACD,9.353140787578512e-07
Aroon_down,4.889191551273119e-07
Close_MA_14,4.5888164536725303e-07
OBV,4.2940273539437763e-07
Aroon_up,4.2860604225513597e-07
RSI,3.632970519031497e-07
Volume,2.7191089557927066e-07
Bollinger_hband,2.0398431951683973e-07
Bollinger_lband,1.7384510590904882e-07
Close,1.6862997071247943e-07
Low,1.2589324070505707e-07
Number of trades,1.2151427512054407e-07
Open,7.22814261975054e-08
Close_MA_50,7.04461189301158e-08
Taker buy base asset volume,7.022613693113183e-08
Close_MA_7,6.061582893621954e-08
High,4.368528765963798e-08
Close_MA_25,3.3993179225621194e-08
Taker buy quote asset volume,3.2326806487662e-08
Quote asset volume,1.918672666460356e-08
