Feature,Score,Importance
Stoch,[0.08348517 0.03252518 0.05559127],0.05720053929747324
Aroon_down,[0.02886428 0.00649721 0.02844758],0.021269691877608802
Aroon_up,[0.02038839 0.01295463 0.00743988],0.013594299778257204
RSI,[0.01355898 0.00499206 0.01021114],0.009587396294566836
High,[0.01247672 0.00803048 0.00444876],0.008318652348747466
Number of trades,[0.00924225 0.00593383 0.00330769],0.006161256643986501
Taker buy base asset volume,[0.00272169 0.00401377 0.00563032],0.004121927743437868
OBV,[0.00208494 0.00081073 0.00231354],0.0017364033628054036
Close_MA_25,[0.00068003 0.00147195 0.00218938],0.0014471223003377828
MACD,[0.00191757 0.00114074 0.00078706],0.0012817917647317638
Close,[0.00040543 0.00087614 0.00133412],0.0008718933856454114
Low,[0.00060364 0.00035333 0.00026836],0.0004084411125153129
Open,[1.85394778e-04 1.28989350e-04 4.98167725e-05],0.00012140030023693989
Bollinger_hband,[1.08980252e-04 5.73294145e-05 3.28717264e-05],6.63937976930809e-05
Close_MA_14,[6.88663204e-05 4.61755925e-05 1.10149521e-05],4.2018955011231144e-05
Bollinger_lband,[4.71453321e-05 2.78594339e-05 1.34039249e-05],2.9469563595308144e-05
Volume,[3.45965696e-05 2.27228406e-05 1.48902007e-05],2.4069870293988195e-05
Taker buy quote asset volume,[2.22408696e-05 2.64530253e-05 4.07070297e-06],1.7588199301312048e-05
Close_MA_7,[1.70535923e-05 1.72720067e-05 1.59717800e-05],1.6765792978204106e-05
Close_MA_50,[1.32992832e-05 2.32429857e-05 1.27128262e-05],1.641836505000152e-05
Quote asset volume,[1.15978529e-05 1.62920299e-05 6.06803706e-06],1.1319306613485072e-05
Phase,[4.91018633e-06 1.19818604e-05 4.42792453e-06],7.1066570742085946e-06
