Feature,Score,MeanScore
stoch,[0.07807199 0.02982578 0.05506373],0.05432049758549107
aroon_down,[0.02315414 0.00643082 0.02773292],0.019105958610748795
Taker buy base asset volume,[0.00696377 0.00954685 0.00686592],0.007792181601990192
rsi,[0.00346985 0.00707749 0.01054895],0.007032096791007057
High,[0.01004893 0.00647378 0.00357717],0.006699960903641264
macd,[0.00429704 0.00569108 0.00934562],0.006444576400025451
Number of trades,[0.00802257 0.00524849 0.00277099],0.005347352793826411
Close_MA_25,[0.00080162 0.00164256 0.00245126],0.0016318121527562198
obv,[0.00103445 0.00017717 0.00116443],0.0007920129124823734
Quote asset volume,[0.00025861 0.00040785 0.00067992],0.00044879538372778294
Low,[0.00050707 0.00028678 0.00044865],0.00041416877619021423
Open,[0.00018461 0.00030733 0.00048522],0.0003257218891626461
Close,[2.79357275e-04 1.83159830e-04 8.15779603e-05],0.00018136502185892326
bollinger_hband,[0.00027731 0.00011469 0.00012734],0.00017311344970384648
Close_MA_14,[0.00023193 0.00011567 0.00010356],0.0001503898632446152
bollinger_lband,[2.42371469e-05 1.21937583e-05 2.30506943e-05],1.98271998259775e-05
aroon_up,[2.55363699e-05 1.45026496e-05 1.69837248e-05],1.9007581402815766e-05
Close_MA_7,[1.66365680e-05 3.26286150e-06 1.96564836e-05],1.3185304387321707e-05
phase,[1.58696373e-05 1.23540466e-05 9.14378004e-06],1.2455821332291838e-05
Taker buy quote asset volume,[2.25444289e-05 3.49048554e-06 1.08784070e-05],1.2304440459429456e-05
Volume,[7.09073646e-06 8.36327714e-06 1.04004953e-05],8.618169627065813e-06
Close_MA_50,[1.21308333e-05 2.51979244e-06 1.07017380e-05],8.450787923321939e-06
