beam_width,min_covered_examples,max_rule_length,auc,accuracy,precision,recall,f1_score
5,40,3,[0.56079177],0.424886191198786,0.42940910725537423,0.424886191198786,0.42134823890605644
5,40,6,[0.57287188],0.4481537683358624,0.4474749767033179,0.4481537683358624,0.44340721309702796
5,40,10,[0.57287188],0.4481537683358624,0.4474749767033179,0.4481537683358624,0.44340721309702796
5,80,3,[0.56079177],0.424886191198786,0.42940910725537423,0.424886191198786,0.42134823890605644
5,80,6,[0.57287188],0.4481537683358624,0.4474749767033179,0.4481537683358624,0.44340721309702796
5,80,10,[0.57287188],0.4481537683358624,0.4474749767033179,0.4481537683358624,0.44340721309702796
5,120,3,[0.56079177],0.424886191198786,0.42940910725537423,0.424886191198786,0.42134823890605644
5,120,6,[0.57287188],0.4481537683358624,0.4474749767033179,0.4481537683358624,0.44340721309702796
5,120,10,[0.57287188],0.4481537683358624,0.4474749767033179,0.4481537683358624,0.44340721309702796
10,40,3,[0.56679013],0.438037430450177,0.43807610428485466,0.438037430450177,0.4354171732759369
10,40,6,[0.56797731],0.43146181082448154,0.43143370218149657,0.43146181082448154,0.42930192730501365
10,40,10,[0.56797731],0.43146181082448154,0.43143370218149657,0.43146181082448154,0.42930192730501365
10,80,3,[0.56679013],0.438037430450177,0.43807610428485466,0.438037430450177,0.4354171732759369
10,80,6,[0.56797731],0.43146181082448154,0.43143370218149657,0.43146181082448154,0.42930192730501365
10,80,10,[0.56797731],0.43146181082448154,0.43143370218149657,0.43146181082448154,0.42930192730501365
10,120,3,[0.56679013],0.438037430450177,0.43807610428485466,0.438037430450177,0.4354171732759369
10,120,6,[0.56797731],0.43146181082448154,0.43143370218149657,0.43146181082448154,0.42930192730501365
10,120,10,[0.56797731],0.43146181082448154,0.43143370218149657,0.43146181082448154,0.42930192730501365
15,40,3,[0.55095149],0.41274658573596357,0.4130656563100481,0.41274658573596357,0.41044745361194857
15,40,6,[0.54886388],0.41274658573596357,0.41331962470491784,0.41274658573596357,0.4102662877402632
15,40,10,[0.54886388],0.41274658573596357,0.41331962470491784,0.41274658573596357,0.4102662877402632
15,80,3,[0.55095149],0.41274658573596357,0.4130656563100481,0.41274658573596357,0.41044745361194857
15,80,6,[0.54886388],0.41274658573596357,0.41331962470491784,0.41274658573596357,0.4102662877402632
15,80,10,[0.54886388],0.41274658573596357,0.41331962470491784,0.41274658573596357,0.4102662877402632
15,120,3,[0.55095149],0.41274658573596357,0.4130656563100481,0.41274658573596357,0.41044745361194857
15,120,6,[0.54886388],0.41274658573596357,0.41331962470491784,0.41274658573596357,0.4102662877402632
15,120,10,[0.54886388],0.41274658573596357,0.41331962470491784,0.41274658573596357,0.4102662877402632
