beam_width,min_covered_examples,max_rule_length,auc,accuracy,precision,recall,f1_score
5,40,3,[0.9985621],0.9944360141628731,0.9944350075434248,0.9944360141628731,0.9944351376166761
5,40,6,[0.9985621],0.9944360141628731,0.9944350075434248,0.9944360141628731,0.9944351376166761
5,40,10,[0.9985621],0.9944360141628731,0.9944350075434248,0.9944360141628731,0.9944351376166761
5,80,3,[0.9985621],0.9944360141628731,0.9944350075434248,0.9944360141628731,0.9944351376166761
5,80,6,[0.9985621],0.9944360141628731,0.9944350075434248,0.9944360141628731,0.9944351376166761
5,80,10,[0.9985621],0.9944360141628731,0.9944350075434248,0.9944360141628731,0.9944351376166761
5,120,3,[0.9985621],0.9944360141628731,0.9944350075434248,0.9944360141628731,0.9944351376166761
5,120,6,[0.9985621],0.9944360141628731,0.9944350075434248,0.9944360141628731,0.9944351376166761
5,120,10,[0.9985621],0.9944360141628731,0.9944350075434248,0.9944360141628731,0.9944351376166761
10,40,3,[0.9985621],0.9944360141628731,0.9944350075434248,0.9944360141628731,0.9944351376166761
10,40,6,[0.9985621],0.9944360141628731,0.9944350075434248,0.9944360141628731,0.9944351376166761
10,40,10,[0.9985621],0.9944360141628731,0.9944350075434248,0.9944360141628731,0.9944351376166761
10,80,3,[0.9985621],0.9944360141628731,0.9944350075434248,0.9944360141628731,0.9944351376166761
10,80,6,[0.9985621],0.9944360141628731,0.9944350075434248,0.9944360141628731,0.9944351376166761
10,80,10,[0.9985621],0.9944360141628731,0.9944350075434248,0.9944360141628731,0.9944351376166761
10,120,3,[0.9985621],0.9944360141628731,0.9944350075434248,0.9944360141628731,0.9944351376166761
10,120,6,[0.9985621],0.9944360141628731,0.9944350075434248,0.9944360141628731,0.9944351376166761
10,120,10,[0.9985621],0.9944360141628731,0.9944350075434248,0.9944360141628731,0.9944351376166761
15,40,3,[0.9985621],0.9944360141628731,0.9944350075434248,0.9944360141628731,0.9944351376166761
15,40,6,[0.9985621],0.9944360141628731,0.9944350075434248,0.9944360141628731,0.9944351376166761
15,40,10,[0.9985621],0.9944360141628731,0.9944350075434248,0.9944360141628731,0.9944351376166761
15,80,3,[0.9985621],0.9944360141628731,0.9944350075434248,0.9944360141628731,0.9944351376166761
15,80,6,[0.9985621],0.9944360141628731,0.9944350075434248,0.9944360141628731,0.9944351376166761
15,80,10,[0.9985621],0.9944360141628731,0.9944350075434248,0.9944360141628731,0.9944351376166761
15,120,3,[0.9985621],0.9944360141628731,0.9944350075434248,0.9944360141628731,0.9944351376166761
15,120,6,[0.9985621],0.9944360141628731,0.9944350075434248,0.9944360141628731,0.9944351376166761
15,120,10,[0.9985621],0.9944360141628731,0.9944350075434248,0.9944360141628731,0.9944351376166761
