beam_width,min_covered_examples,max_rule_length,auc,accuracy,precision,recall,f1_score
5,40,2,[0.51597579],0.3661003236245955,0.363308276436364,0.3661003236245955,0.3642385747218805
5,40,3,[0.52038946],0.369336569579288,0.3743531893291685,0.369336569579288,0.3715014520270146
5,40,4,[0.52038946],0.369336569579288,0.3743531893291685,0.369336569579288,0.3715014520270146
5,40,6,[0.52038946],0.369336569579288,0.3743531893291685,0.369336569579288,0.3715014520270146
5,40,10,[0.52038946],0.369336569579288,0.3743531893291685,0.369336569579288,0.3715014520270146
5,80,2,[0.51597579],0.3661003236245955,0.363308276436364,0.3661003236245955,0.3642385747218805
5,80,3,[0.52038946],0.369336569579288,0.3743531893291685,0.369336569579288,0.3715014520270146
5,80,4,[0.52038946],0.369336569579288,0.3743531893291685,0.369336569579288,0.3715014520270146
5,80,6,[0.52038946],0.369336569579288,0.3743531893291685,0.369336569579288,0.3715014520270146
5,80,10,[0.52038946],0.369336569579288,0.3743531893291685,0.369336569579288,0.3715014520270146
5,120,2,[0.51597579],0.3661003236245955,0.363308276436364,0.3661003236245955,0.3642385747218805
5,120,3,[0.52038946],0.369336569579288,0.3743531893291685,0.369336569579288,0.3715014520270146
5,120,4,[0.52038946],0.369336569579288,0.3743531893291685,0.369336569579288,0.3715014520270146
5,120,6,[0.52038946],0.369336569579288,0.3743531893291685,0.369336569579288,0.3715014520270146
5,120,10,[0.52038946],0.369336569579288,0.3743531893291685,0.369336569579288,0.3715014520270146
10,40,2,[0.52311675],0.3644822006472492,0.3753279658012193,0.3644822006472492,0.3666261183050009
10,40,3,[0.51492011],0.3624595469255663,0.3667528805887508,0.3624595469255663,0.3642098342762681
10,40,4,[0.51492011],0.3624595469255663,0.3667528805887508,0.3624595469255663,0.3642098342762681
10,40,6,[0.51492011],0.3624595469255663,0.3667528805887508,0.3624595469255663,0.3642098342762681
10,40,10,[0.51492011],0.3624595469255663,0.3667528805887508,0.3624595469255663,0.3642098342762681
10,80,2,[0.52311675],0.3644822006472492,0.3753279658012193,0.3644822006472492,0.3666261183050009
10,80,3,[0.51492011],0.3624595469255663,0.3667528805887508,0.3624595469255663,0.3642098342762681
10,80,4,[0.51492011],0.3624595469255663,0.3667528805887508,0.3624595469255663,0.3642098342762681
10,80,6,[0.51492011],0.3624595469255663,0.3667528805887508,0.3624595469255663,0.3642098342762681
10,80,10,[0.51492011],0.3624595469255663,0.3667528805887508,0.3624595469255663,0.3642098342762681
10,120,2,[0.52311675],0.3644822006472492,0.3753279658012193,0.3644822006472492,0.3666261183050009
10,120,3,[0.51492011],0.3624595469255663,0.3667528805887508,0.3624595469255663,0.3642098342762681
10,120,4,[0.51492011],0.3624595469255663,0.3667528805887508,0.3624595469255663,0.3642098342762681
10,120,6,[0.51492011],0.3624595469255663,0.3667528805887508,0.3624595469255663,0.3642098342762681
10,120,10,[0.51492011],0.3624595469255663,0.3667528805887508,0.3624595469255663,0.3642098342762681
15,40,2,[0.53620294],0.4025080906148867,0.3963288742497719,0.4025080906148867,0.3983817277198416
15,40,3,[0.51839004],0.3843042071197411,0.3791383575347741,0.3843042071197411,0.3791141974416303
15,40,4,[0.51839004],0.3843042071197411,0.3791383575347741,0.3843042071197411,0.3791141974416303
15,40,6,[0.51839004],0.3843042071197411,0.3791383575347741,0.3843042071197411,0.3791141974416303
15,40,10,[0.51839004],0.3843042071197411,0.3791383575347741,0.3843042071197411,0.3791141974416303
15,80,2,[0.53620294],0.4025080906148867,0.3963288742497719,0.4025080906148867,0.3983817277198416
15,80,3,[0.51839004],0.3843042071197411,0.3791383575347741,0.3843042071197411,0.3791141974416303
15,80,4,[0.51839004],0.3843042071197411,0.3791383575347741,0.3843042071197411,0.3791141974416303
15,80,6,[0.51839004],0.3843042071197411,0.3791383575347741,0.3843042071197411,0.3791141974416303
15,80,10,[0.51839004],0.3843042071197411,0.3791383575347741,0.3843042071197411,0.3791141974416303
15,120,2,[0.53620294],0.4025080906148867,0.3963288742497719,0.4025080906148867,0.3983817277198416
15,120,3,[0.51839004],0.3843042071197411,0.3791383575347741,0.3843042071197411,0.3791141974416303
15,120,4,[0.51839004],0.3843042071197411,0.3791383575347741,0.3843042071197411,0.3791141974416303
15,120,6,[0.51839004],0.3843042071197411,0.3791383575347741,0.3843042071197411,0.3791141974416303
15,120,10,[0.51839004],0.3843042071197411,0.3791383575347741,0.3843042071197411,0.3791141974416303
