beam_width,min_covered_examples,max_rule_length,auc,accuracy,precision,recall,f1_score
5,40,3,[0.52838466],0.41143724696356276,0.3866077675033478,0.41143724696356276,0.381843656931866
5,40,6,[0.52817395],0.4200404858299595,0.3987623106616242,0.4200404858299595,0.3980805059381748
5,40,10,[0.5280212],0.4200404858299595,0.39876626465213827,0.4200404858299595,0.398116177685318
5,80,3,[0.52838466],0.41143724696356276,0.3866077675033478,0.41143724696356276,0.381843656931866
5,80,6,[0.52817395],0.4200404858299595,0.3987623106616242,0.4200404858299595,0.3980805059381748
5,80,10,[0.5280212],0.4200404858299595,0.39876626465213827,0.4200404858299595,0.398116177685318
5,120,3,[0.52838466],0.41143724696356276,0.3866077675033478,0.41143724696356276,0.381843656931866
5,120,6,[0.52817395],0.4200404858299595,0.3987623106616242,0.4200404858299595,0.3980805059381748
5,120,10,[0.5280212],0.4200404858299595,0.39876626465213827,0.4200404858299595,0.398116177685318
10,40,3,[0.53745739],0.4104251012145749,0.396514524994257,0.4104251012145749,0.3944339112556112
10,40,6,[0.52134058],0.4124493927125506,0.3959549967309674,0.4124493927125506,0.3919688454441796
10,40,10,[0.52134058],0.4124493927125506,0.3959549967309674,0.4124493927125506,0.3919688454441796
10,80,3,[0.53745739],0.4104251012145749,0.396514524994257,0.4104251012145749,0.3944339112556112
10,80,6,[0.52134058],0.4124493927125506,0.3959549967309674,0.4124493927125506,0.3919688454441796
10,80,10,[0.52134058],0.4124493927125506,0.3959549967309674,0.4124493927125506,0.3919688454441796
10,120,3,[0.53745739],0.4104251012145749,0.396514524994257,0.4104251012145749,0.3944339112556112
10,120,6,[0.52134058],0.4124493927125506,0.3959549967309674,0.4124493927125506,0.3919688454441796
10,120,10,[0.52134058],0.4124493927125506,0.3959549967309674,0.4124493927125506,0.3919688454441796
15,40,3,[0.5289457],0.416497975708502,0.39167196091611844,0.416497975708502,0.39507023680201353
15,40,6,[0.51946111],0.4124493927125506,0.39377473712600414,0.4124493927125506,0.3948344822573158
15,40,10,[0.51946111],0.4124493927125506,0.39377473712600414,0.4124493927125506,0.3948344822573158
15,80,3,[0.5289457],0.416497975708502,0.39167196091611844,0.416497975708502,0.39507023680201353
15,80,6,[0.51946111],0.4124493927125506,0.39377473712600414,0.4124493927125506,0.3948344822573158
15,80,10,[0.51946111],0.4124493927125506,0.39377473712600414,0.4124493927125506,0.3948344822573158
15,120,3,[0.5289457],0.416497975708502,0.39167196091611844,0.416497975708502,0.39507023680201353
15,120,6,[0.51946111],0.4124493927125506,0.39377473712600414,0.4124493927125506,0.3948344822573158
15,120,10,[0.51946111],0.4124493927125506,0.39377473712600414,0.4124493927125506,0.3948344822573158
