beam_width,min_covered_examples,max_rule_length,auc,accuracy,precision,recall,f1_score
5,40,3,[0.54525838],0.4016186140617097,0.3942601705201483,0.4016186140617097,0.3954499794288264
5,40,6,[0.52141535],0.39706626201315126,0.38662217848533564,0.39706626201315126,0.3861600192745798
5,40,10,[0.52141535],0.39706626201315126,0.38662217848533564,0.39706626201315126,0.3861600192745798
5,80,3,[0.54525838],0.4016186140617097,0.3942601705201483,0.4016186140617097,0.3954499794288264
5,80,6,[0.52141535],0.39706626201315126,0.38662217848533564,0.39706626201315126,0.3861600192745798
5,80,10,[0.52141535],0.39706626201315126,0.38662217848533564,0.39706626201315126,0.3861600192745798
5,120,3,[0.54525838],0.4016186140617097,0.3942601705201483,0.4016186140617097,0.3954499794288264
5,120,6,[0.52141535],0.39706626201315126,0.38662217848533564,0.39706626201315126,0.3861600192745798
5,120,10,[0.52141535],0.39706626201315126,0.38662217848533564,0.39706626201315126,0.3861600192745798
10,40,3,[0.52136858],0.37784522003034904,0.37133892785627104,0.37784522003034904,0.3724860165056579
10,40,6,[0.53608094],0.39352554375316134,0.3868046893305529,0.39352554375316134,0.38574051337584997
10,40,10,[0.53608094],0.39352554375316134,0.3868046893305529,0.39352554375316134,0.38574051337584997
10,80,3,[0.52136858],0.37784522003034904,0.37133892785627104,0.37784522003034904,0.3724860165056579
10,80,6,[0.53608094],0.39352554375316134,0.3868046893305529,0.39352554375316134,0.38574051337584997
10,80,10,[0.53608094],0.39352554375316134,0.3868046893305529,0.39352554375316134,0.38574051337584997
10,120,3,[0.52136858],0.37784522003034904,0.37133892785627104,0.37784522003034904,0.3724860165056579
10,120,6,[0.53608094],0.39352554375316134,0.3868046893305529,0.39352554375316134,0.38574051337584997
10,120,10,[0.53608094],0.39352554375316134,0.3868046893305529,0.39352554375316134,0.38574051337584997
15,40,3,[0.52303254],0.3945371775417299,0.3855178313278559,0.3945371775417299,0.3853181191280228
15,40,6,[0.52951605],0.3930197268588771,0.38447656038155975,0.3930197268588771,0.38549820085919745
15,40,10,[0.52951605],0.3930197268588771,0.38447656038155975,0.3930197268588771,0.38549820085919745
15,80,3,[0.52303254],0.3945371775417299,0.3855178313278559,0.3945371775417299,0.3853181191280228
15,80,6,[0.52951605],0.3930197268588771,0.38447656038155975,0.3930197268588771,0.38549820085919745
15,80,10,[0.52951605],0.3930197268588771,0.38447656038155975,0.3930197268588771,0.38549820085919745
15,120,3,[0.52303254],0.3945371775417299,0.3855178313278559,0.3945371775417299,0.3853181191280228
15,120,6,[0.52951605],0.3930197268588771,0.38447656038155975,0.3930197268588771,0.38549820085919745
15,120,10,[0.52951605],0.3930197268588771,0.38447656038155975,0.3930197268588771,0.38549820085919745
