beam_width,min_covered_examples,max_rule_length,auc,accuracy,precision,recall,f1_score
5,40,3,[0.66525158],0.4648457258472433,0.47343260555951033,0.4648457258472433,0.4144664757367953
5,40,6,[0.66427255],0.4876074860900354,0.4920438718206841,0.4876074860900354,0.47601931132862396
5,40,10,[0.66852696],0.48356095093576124,0.4791563557608075,0.48356095093576124,0.4647853354650194
5,80,3,[0.66525158],0.4648457258472433,0.47343260555951033,0.4648457258472433,0.4144664757367953
5,80,6,[0.66427255],0.4876074860900354,0.4920438718206841,0.4876074860900354,0.47601931132862396
5,80,10,[0.66852696],0.48356095093576124,0.4791563557608075,0.48356095093576124,0.4647853354650194
5,120,3,[0.66525158],0.4648457258472433,0.47343260555951033,0.4648457258472433,0.4144664757367953
5,120,6,[0.66427255],0.4876074860900354,0.4920438718206841,0.4876074860900354,0.47601931132862396
5,120,10,[0.66852696],0.48356095093576124,0.4791563557608075,0.48356095093576124,0.4647853354650194
10,40,3,[0.66235149],0.45624683864441073,0.4603595214780631,0.45624683864441073,0.42486517513908223
10,40,6,[0.66330625],0.47344461305007585,0.4755448911743898,0.47344461305007585,0.465942374810724
10,40,10,[0.66441781],0.48811330298431965,0.4880607960135608,0.48811330298431965,0.4748234778062675
10,80,3,[0.66235149],0.45624683864441073,0.4603595214780631,0.45624683864441073,0.42486517513908223
10,80,6,[0.66330625],0.47344461305007585,0.4755448911743898,0.47344461305007585,0.465942374810724
10,80,10,[0.66441781],0.48811330298431965,0.4880607960135608,0.48811330298431965,0.4748234778062675
10,120,3,[0.66235149],0.45624683864441073,0.4603595214780631,0.45624683864441073,0.42486517513908223
10,120,6,[0.66330625],0.47344461305007585,0.4755448911743898,0.47344461305007585,0.465942374810724
10,120,10,[0.66441781],0.48811330298431965,0.4880607960135608,0.48811330298431965,0.4748234778062675
15,40,3,[0.67217963],0.47091552857865454,0.4814295768567597,0.47091552857865454,0.4283117418002594
15,40,6,[0.67214302],0.48356095093576124,0.483723076292751,0.48356095093576124,0.4723609151815756
15,40,10,[0.67381175],0.48811330298431965,0.48900151504893913,0.48811330298431965,0.47311579040667084
15,80,3,[0.67217963],0.47091552857865454,0.4814295768567597,0.47091552857865454,0.4283117418002594
15,80,6,[0.67214302],0.48356095093576124,0.483723076292751,0.48356095093576124,0.4723609151815756
15,80,10,[0.67381175],0.48811330298431965,0.48900151504893913,0.48811330298431965,0.47311579040667084
15,120,3,[0.67217963],0.47091552857865454,0.4814295768567597,0.47091552857865454,0.4283117418002594
15,120,6,[0.67214302],0.48356095093576124,0.483723076292751,0.48356095093576124,0.4723609151815756
15,120,10,[0.67381175],0.48811330298431965,0.48900151504893913,0.48811330298431965,0.47311579040667084
