beam_width,min_covered_examples,max_rule_length,auc,accuracy,precision,recall,f1_score
5,40,3,[0.647194],0.4815376833586242,0.35073576616743996,0.4815376833586242,0.40311373962177294
5,40,6,[0.647194],0.4815376833586242,0.35073576616743996,0.4815376833586242,0.40311373962177294
5,40,10,[0.647194],0.4815376833586242,0.35073576616743996,0.4815376833586242,0.40311373962177294
5,80,3,[0.647194],0.4815376833586242,0.35073576616743996,0.4815376833586242,0.40311373962177294
5,80,6,[0.647194],0.4815376833586242,0.35073576616743996,0.4815376833586242,0.40311373962177294
5,80,10,[0.647194],0.4815376833586242,0.35073576616743996,0.4815376833586242,0.40311373962177294
5,120,3,[0.647194],0.4815376833586242,0.35073576616743996,0.4815376833586242,0.40311373962177294
5,120,6,[0.647194],0.4815376833586242,0.35073576616743996,0.4815376833586242,0.40311373962177294
5,120,10,[0.647194],0.4815376833586242,0.35073576616743996,0.4815376833586242,0.40311373962177294
10,40,3,[0.647194],0.4815376833586242,0.35073576616743996,0.4815376833586242,0.40311373962177294
10,40,6,[0.647194],0.4815376833586242,0.35073576616743996,0.4815376833586242,0.40311373962177294
10,40,10,[0.647194],0.4815376833586242,0.35073576616743996,0.4815376833586242,0.40311373962177294
10,80,3,[0.647194],0.4815376833586242,0.35073576616743996,0.4815376833586242,0.40311373962177294
10,80,6,[0.647194],0.4815376833586242,0.35073576616743996,0.4815376833586242,0.40311373962177294
10,80,10,[0.647194],0.4815376833586242,0.35073576616743996,0.4815376833586242,0.40311373962177294
10,120,3,[0.647194],0.4815376833586242,0.35073576616743996,0.4815376833586242,0.40311373962177294
10,120,6,[0.647194],0.4815376833586242,0.35073576616743996,0.4815376833586242,0.40311373962177294
10,120,10,[0.647194],0.4815376833586242,0.35073576616743996,0.4815376833586242,0.40311373962177294
15,40,3,[0.647194],0.4815376833586242,0.35073576616743996,0.4815376833586242,0.40311373962177294
15,40,6,[0.647194],0.4815376833586242,0.35073576616743996,0.4815376833586242,0.40311373962177294
15,40,10,[0.647194],0.4815376833586242,0.35073576616743996,0.4815376833586242,0.40311373962177294
15,80,3,[0.647194],0.4815376833586242,0.35073576616743996,0.4815376833586242,0.40311373962177294
15,80,6,[0.647194],0.4815376833586242,0.35073576616743996,0.4815376833586242,0.40311373962177294
15,80,10,[0.647194],0.4815376833586242,0.35073576616743996,0.4815376833586242,0.40311373962177294
15,120,3,[0.647194],0.4815376833586242,0.35073576616743996,0.4815376833586242,0.40311373962177294
15,120,6,[0.647194],0.4815376833586242,0.35073576616743996,0.4815376833586242,0.40311373962177294
15,120,10,[0.647194],0.4815376833586242,0.35073576616743996,0.4815376833586242,0.40311373962177294
