beam_width,min_covered_examples,max_rule_length,auc,accuracy,precision,recall,f1_score
5,40,3,[0.97183291],0.7855336368234699,0.8534190179545983,0.7855336368234699,0.7373358325245537
5,40,6,[0.9700018],0.7824987354577643,0.8489992158478857,0.7824987354577643,0.7338259541774269
5,40,10,[0.9693901],0.78199291856348,0.848384613101208,0.78199291856348,0.7333299462125611
5,80,3,[0.97183291],0.7855336368234699,0.8534190179545983,0.7855336368234699,0.7373358325245537
5,80,6,[0.9700018],0.7824987354577643,0.8489992158478857,0.7824987354577643,0.7338259541774269
5,80,10,[0.9693901],0.78199291856348,0.848384613101208,0.78199291856348,0.7333299462125611
5,120,3,[0.97183291],0.7855336368234699,0.8534190179545983,0.7855336368234699,0.7373358325245537
5,120,6,[0.9700018],0.7824987354577643,0.8489992158478857,0.7824987354577643,0.7338259541774269
5,120,10,[0.9693901],0.78199291856348,0.848384613101208,0.78199291856348,0.7333299462125611
10,40,3,[0.9791068],0.8715225088517956,0.8939076144477439,0.8715225088517956,0.8627918302152339
10,40,6,[0.97429959],0.8310571573090542,0.8729534298521042,0.8310571573090542,0.8081916920252836
10,40,10,[0.97435372],0.8310571573090542,0.8729534298521042,0.8310571573090542,0.8081916920252836
10,80,3,[0.9791068],0.8715225088517956,0.8939076144477439,0.8715225088517956,0.8627918302152339
10,80,6,[0.97429959],0.8310571573090542,0.8729534298521042,0.8310571573090542,0.8081916920252836
10,80,10,[0.97435372],0.8310571573090542,0.8729534298521042,0.8310571573090542,0.8081916920252836
10,120,3,[0.9791068],0.8715225088517956,0.8939076144477439,0.8715225088517956,0.8627918302152339
10,120,6,[0.97429959],0.8310571573090542,0.8729534298521042,0.8310571573090542,0.8081916920252836
10,120,10,[0.97435372],0.8310571573090542,0.8729534298521042,0.8310571573090542,0.8081916920252836
15,40,3,[0.97506411],0.8148710166919575,0.8592613391699782,0.8148710166919575,0.789543633184934
15,40,6,[0.97357288],0.8265048052604957,0.8651873814080839,0.8265048052604957,0.805853058907182
15,40,10,[0.97357805],0.8259989883662114,0.8648839127443073,0.8259989883662114,0.8054157842737071
15,80,3,[0.97506411],0.8148710166919575,0.8592613391699782,0.8148710166919575,0.789543633184934
15,80,6,[0.97357288],0.8265048052604957,0.8651873814080839,0.8265048052604957,0.805853058907182
15,80,10,[0.97357805],0.8259989883662114,0.8648839127443073,0.8259989883662114,0.8054157842737071
15,120,3,[0.97506411],0.8148710166919575,0.8592613391699782,0.8148710166919575,0.789543633184934
15,120,6,[0.97357288],0.8265048052604957,0.8651873814080839,0.8265048052604957,0.805853058907182
15,120,10,[0.97357805],0.8259989883662114,0.8648839127443073,0.8259989883662114,0.8054157842737071
