beam_width,min_covered_examples,max_rule_length,auc,accuracy,precision,recall,f1_score
5,40,3,[0.9921558],0.8320687910976227,0.8770310179972914,0.8320687910976227,0.8082741320674652
5,40,6,[0.98553419],0.8270106221547799,0.8743405159332323,0.8270106221547799,0.8014202230823474
5,40,10,[0.98387143],0.8275164390490642,0.8746076274271821,0.8275164390490642,0.801854453959696
5,80,3,[0.9921558],0.8320687910976227,0.8770310179972914,0.8320687910976227,0.8082741320674652
5,80,6,[0.98553419],0.8270106221547799,0.8743405159332323,0.8270106221547799,0.8014202230823474
5,80,10,[0.98387143],0.8275164390490642,0.8746076274271821,0.8275164390490642,0.801854453959696
5,120,3,[0.9921558],0.8320687910976227,0.8770310179972914,0.8320687910976227,0.8082741320674652
5,120,6,[0.98553419],0.8270106221547799,0.8743405159332323,0.8270106221547799,0.8014202230823474
5,120,10,[0.98387143],0.8275164390490642,0.8746076274271821,0.8275164390490642,0.801854453959696
10,40,3,[0.98712015],0.8988366211431462,0.9068914266350683,0.8988366211431462,0.8969484058876895
10,40,6,[0.98516447],0.8492665655032878,0.8781225670180715,0.8492665655032878,0.836279640953171
10,40,10,[0.98516447],0.8492665655032878,0.8781225670180715,0.8492665655032878,0.836279640953171
10,80,3,[0.98712015],0.8988366211431462,0.9068914266350683,0.8988366211431462,0.8969484058876895
10,80,6,[0.98516447],0.8492665655032878,0.8781225670180715,0.8492665655032878,0.836279640953171
10,80,10,[0.98516447],0.8492665655032878,0.8781225670180715,0.8492665655032878,0.836279640953171
10,120,3,[0.98712015],0.8988366211431462,0.9068914266350683,0.8988366211431462,0.8969484058876895
10,120,6,[0.98516447],0.8492665655032878,0.8781225670180715,0.8492665655032878,0.836279640953171
10,120,10,[0.98516447],0.8492665655032878,0.8781225670180715,0.8492665655032878,0.836279640953171
15,40,3,[0.99490585],0.928679817905918,0.9379100109133252,0.928679817905918,0.9261980028913389
15,40,6,[0.99524015],0.8452200303490136,0.8842337624027218,0.8452200303490136,0.8264994847185534
15,40,10,[0.99524015],0.8452200303490136,0.8842337624027218,0.8452200303490136,0.8264994847185534
15,80,3,[0.99490585],0.928679817905918,0.9379100109133252,0.928679817905918,0.9261980028913389
15,80,6,[0.99524015],0.8452200303490136,0.8842337624027218,0.8452200303490136,0.8264994847185534
15,80,10,[0.99524015],0.8452200303490136,0.8842337624027218,0.8452200303490136,0.8264994847185534
15,120,3,[0.99490585],0.928679817905918,0.9379100109133252,0.928679817905918,0.9261980028913389
15,120,6,[0.99524015],0.8452200303490136,0.8842337624027218,0.8452200303490136,0.8264994847185534
15,120,10,[0.99524015],0.8452200303490136,0.8842337624027218,0.8452200303490136,0.8264994847185534
