beam_width,min_covered_examples,max_rule_length,auc,accuracy,precision,recall,f1_score
5,40,3,[0.57825536],0.45220030349013657,0.39680069528939016,0.45220030349013657,0.33193180181620735
5,40,6,[0.58514043],0.4628224582701062,0.43310337091050904,0.4628224582701062,0.35743460901045515
5,40,10,[0.58463181],0.4633282751643905,0.42893871036893993,0.4633282751643905,0.35946374901666933
5,80,3,[0.57825536],0.45220030349013657,0.39680069528939016,0.45220030349013657,0.33193180181620735
5,80,6,[0.58514043],0.4628224582701062,0.43310337091050904,0.4628224582701062,0.35743460901045515
5,80,10,[0.58496293],0.46383409205867476,0.4299185531855287,0.46383409205867476,0.3597925811839701
5,120,3,[0.57825536],0.45220030349013657,0.39680069528939016,0.45220030349013657,0.33193180181620735
5,120,6,[0.58514043],0.4628224582701062,0.43310337091050904,0.4628224582701062,0.35743460901045515
5,120,10,[0.58463181],0.4633282751643905,0.42893871036893993,0.4633282751643905,0.35946374901666933
10,40,3,[0.57913172],0.4613050075872534,0.39180024359773546,0.4613050075872534,0.33996984634719246
10,40,6,[0.58361656],0.45928174001011635,0.4216163846262087,0.45928174001011635,0.3512601040737886
10,40,10,[0.582782],0.4587759231158321,0.40944429393413606,0.4587759231158321,0.35974261718805345
10,80,3,[0.57913172],0.4613050075872534,0.39180024359773546,0.4613050075872534,0.33996984634719246
10,80,6,[0.58361656],0.45928174001011635,0.4216163846262087,0.45928174001011635,0.3512601040737886
10,80,10,[0.582782],0.4587759231158321,0.40944429393413606,0.4587759231158321,0.35974261718805345
10,120,3,[0.57913172],0.4613050075872534,0.39180024359773546,0.4613050075872534,0.33996984634719246
10,120,6,[0.58361656],0.45928174001011635,0.4216163846262087,0.45928174001011635,0.3512601040737886
10,120,10,[0.582782],0.4587759231158321,0.40944429393413606,0.4587759231158321,0.35974261718805345
15,40,3,[0.5830972],0.4537177541729894,0.3687972086633764,0.4537177541729894,0.32042033851585194
15,40,6,[0.58673554],0.46079919069296915,0.38511488685507567,0.46079919069296915,0.3315339458338708
15,40,10,[0.58770223],0.4648457258472433,0.44326288804414965,0.4648457258472433,0.3673332229332598
15,80,3,[0.5830972],0.4537177541729894,0.3687972086633764,0.4537177541729894,0.32042033851585194
15,80,6,[0.58673554],0.46079919069296915,0.38511488685507567,0.46079919069296915,0.3315339458338708
15,80,10,[0.58770223],0.4648457258472433,0.44326288804414965,0.4648457258472433,0.3673332229332598
15,120,3,[0.5830972],0.4537177541729894,0.3687972086633764,0.4537177541729894,0.32042033851585194
15,120,6,[0.58673554],0.46079919069296915,0.38511488685507567,0.46079919069296915,0.3315339458338708
15,120,10,[0.58770223],0.4648457258472433,0.44326288804414965,0.4648457258472433,0.3673332229332598
