beam_width,min_covered_examples,max_rule_length,auc,accuracy,precision,recall,f1_score
5,40,3,[0.55744694],0.45068285280728376,0.3676765452095289,0.45068285280728376,0.31501948623279125
5,40,6,[0.56848573],0.4552352048558422,0.4181731150580801,0.4552352048558422,0.3564145703577869
5,40,10,[0.5709365],0.4628224582701062,0.42583179161832824,0.4628224582701062,0.35802077742421745
5,80,3,[0.55744694],0.45068285280728376,0.3676765452095289,0.45068285280728376,0.31501948623279125
5,80,6,[0.56848573],0.4552352048558422,0.4181731150580801,0.4552352048558422,0.3564145703577869
5,80,10,[0.5709365],0.4628224582701062,0.42583179161832824,0.4628224582701062,0.35802077742421745
5,120,3,[0.55744694],0.45068285280728376,0.3676765452095289,0.45068285280728376,0.31501948623279125
5,120,6,[0.56848573],0.4552352048558422,0.4181731150580801,0.4552352048558422,0.3564145703577869
5,120,10,[0.5709365],0.4628224582701062,0.42583179161832824,0.4628224582701062,0.35802077742421745
10,40,3,[0.54337832],0.45574102175012643,0.3717576602433491,0.45574102175012643,0.305750373856471
10,40,6,[0.56450672],0.4628224582701062,0.4461950774386565,0.4628224582701062,0.359122835595504
10,40,10,[0.56616471],0.4587759231158321,0.4330482938568284,0.4587759231158321,0.3594917407855049
10,80,3,[0.54269697],0.4532119372787051,0.36334886099975355,0.4532119372787051,0.30458989577508455
10,80,6,[0.56022763],0.4618108244815377,0.44192766117034993,0.4618108244815377,0.3597676865300576
10,80,10,[0.561535],0.4602933737986849,0.43578287426019424,0.4602933737986849,0.36466161837565
10,120,3,[0.54269697],0.4532119372787051,0.36334886099975355,0.4532119372787051,0.30458989577508455
10,120,6,[0.56450672],0.4628224582701062,0.4461950774386565,0.4628224582701062,0.359122835595504
10,120,10,[0.56107652],0.46079919069296915,0.4389223390689197,0.46079919069296915,0.36167438275969244
15,40,3,[0.54995853],0.46079919069296915,0.4483885674456123,0.46079919069296915,0.31879035801332334
15,40,6,[0.5677423],0.46231664137582196,0.4278603009471692,0.46231664137582196,0.35642037491887185
15,40,10,[0.56408446],0.456752655538695,0.42059354243055214,0.456752655538695,0.356014135232276
15,80,3,[0.54995853],0.46079919069296915,0.4483885674456123,0.46079919069296915,0.31879035801332334
15,80,6,[0.5677423],0.46231664137582196,0.4278603009471692,0.46231664137582196,0.35642037491887185
15,80,10,[0.56408446],0.456752655538695,0.42059354243055214,0.456752655538695,0.356014135232276
15,120,3,[0.54995853],0.46079919069296915,0.4483885674456123,0.46079919069296915,0.31879035801332334
15,120,6,[0.5677423],0.46231664137582196,0.4278603009471692,0.46231664137582196,0.35642037491887185
15,120,10,[0.56408446],0.456752655538695,0.42059354243055214,0.456752655538695,0.356014135232276
