beam_width,min_covered_examples,max_rule_length,auc,accuracy,precision,recall,f1_score
5,40,2,[0.55943418],0.4575242718446602,0.4075937134938483,0.4575242718446602,0.3030643163107882
5,40,3,[0.55849998],0.4538834951456311,0.3801884952770666,0.4538834951456311,0.3072024468070235
5,40,4,[0.56005749],0.4530744336569579,0.3904349564807668,0.4530744336569579,0.317087555948628
5,40,6,[0.56971344],0.4603559870550162,0.4341633796450492,0.4603559870550162,0.3352991057522247
5,40,10,[0.56266801],0.46076051779935273,0.44319846043806577,0.46076051779935273,0.3372347532871847
5,80,2,[0.55945911],0.4583333333333333,0.4195019167148792,0.4583333333333333,0.3047473433477054
5,80,3,[0.55849998],0.4538834951456311,0.3801884952770666,0.4538834951456311,0.3072024468070235
5,80,4,[0.55849387],0.4522653721682848,0.3970407299711018,0.4522653721682848,0.3197884770765604
5,80,6,[0.56971344],0.4603559870550162,0.4341633796450492,0.4603559870550162,0.3352991057522247
5,80,10,[0.56266801],0.46076051779935273,0.44319846043806577,0.46076051779935273,0.3372347532871847
5,120,2,[0.55945911],0.4583333333333333,0.4195019167148792,0.4583333333333333,0.3047473433477054
5,120,3,[0.55849998],0.4538834951456311,0.3801884952770666,0.4538834951456311,0.3072024468070235
5,120,4,[0.55849387],0.4522653721682848,0.3970407299711018,0.4522653721682848,0.3197884770765604
5,120,6,[0.57111982],0.4599514563106796,0.4362430466295495,0.4599514563106796,0.3421095946064915
5,120,10,[0.56563572],0.4627831715210356,0.4542277500364169,0.4627831715210356,0.34113273671439015
10,40,2,[0.55754797],0.4555016181229773,0.401515794540138,0.4555016181229773,0.3075335558334829
10,40,3,[0.56388486],0.45995145631067963,0.43816523299616067,0.45995145631067963,0.31926230100841196
10,40,4,[0.56338494],0.4587378640776699,0.4353649083334231,0.4587378640776699,0.3204639864999308
10,40,6,[0.57083158],0.4611650485436893,0.428030133141739,0.4611650485436893,0.3465225656771876
10,40,10,[0.56617508],0.4587378640776699,0.4233256833224278,0.4587378640776699,0.3459610243525209
10,80,2,[0.55754797],0.4555016181229773,0.401515794540138,0.4555016181229773,0.3075335558334829
10,80,3,[0.56388486],0.45995145631067963,0.43816523299616067,0.45995145631067963,0.31926230100841196
10,80,4,[0.56338494],0.4587378640776699,0.4353649083334231,0.4587378640776699,0.3204639864999308
10,80,6,[0.56781094],0.4607605177993527,0.4246591946851555,0.4607605177993527,0.3478857035521477
10,80,10,[0.56599928],0.4546925566343042,0.41133207092208407,0.4546925566343042,0.33665419115212364
10,120,2,[0.55754797],0.4555016181229773,0.401515794540138,0.4555016181229773,0.3075335558334829
10,120,3,[0.56388486],0.45995145631067963,0.43816523299616067,0.45995145631067963,0.31926230100841196
10,120,4,[0.56338494],0.4587378640776699,0.4353649083334231,0.4587378640776699,0.3204639864999308
10,120,6,[0.56809258],0.459546925566343,0.4137615897888402,0.459546925566343,0.3418079806657422
10,120,10,[0.56552327],0.4559061488673139,0.40805927452009955,0.4559061488673139,0.3393125822981512
15,40,2,[0.56541082],0.4579288025889967,0.4061289612973054,0.4579288025889967,0.3075138020480369
15,40,3,[0.55805043],0.4534789644012945,0.39273186499534035,0.4534789644012945,0.31331324470813504
15,40,4,[0.56090163],0.4530744336569579,0.3864667881491982,0.4530744336569579,0.3179210597055361
15,40,6,[0.56068767],0.4587378640776699,0.4270190779799215,0.4587378640776699,0.3224735529578424
15,40,10,[0.55950847],0.45914239482200647,0.42810008750432793,0.45914239482200647,0.34149011613926644
15,80,2,[0.56541082],0.4579288025889967,0.4061289612973054,0.4579288025889967,0.3075138020480369
15,80,3,[0.55805043],0.4534789644012945,0.39273186499534035,0.4534789644012945,0.31331324470813504
15,80,4,[0.56336103],0.4550970873786408,0.3940510741582317,0.4550970873786408,0.3160442158472617
15,80,6,[0.56068767],0.4587378640776699,0.4270190779799215,0.4587378640776699,0.3224735529578424
15,80,10,[0.55882003],0.4587378640776699,0.4300487400383774,0.4587378640776699,0.3407372928576915
15,120,2,[0.56541082],0.4579288025889967,0.4061289612973054,0.4579288025889967,0.3075138020480369
15,120,3,[0.55805043],0.4534789644012945,0.39273186499534035,0.4534789644012945,0.31331324470813504
15,120,4,[0.56336103],0.4550970873786408,0.3940510741582317,0.4550970873786408,0.3160442158472617
15,120,6,[0.56073651],0.4591423948220064,0.4301287233152254,0.4591423948220064,0.3228435747832337
15,120,10,[0.55950847],0.45914239482200647,0.42810008750432793,0.45914239482200647,0.34149011613926644
