beam_width,min_covered_examples,max_rule_length,auc,accuracy,precision,recall,f1_score
5,40,3,[0.55849998],0.4538834951456311,0.3801884952770666,0.4538834951456311,0.3072024468070235
5,40,6,[0.56971344],0.4603559870550162,0.4341633796450492,0.4603559870550162,0.3352991057522247
5,40,10,[0.56266801],0.46076051779935273,0.44319846043806577,0.46076051779935273,0.3372347532871847
5,80,3,[0.55849998],0.4538834951456311,0.3801884952770666,0.4538834951456311,0.3072024468070235
5,80,6,[0.56971344],0.4603559870550162,0.4341633796450492,0.4603559870550162,0.3352991057522247
5,80,10,[0.56266801],0.46076051779935273,0.44319846043806577,0.46076051779935273,0.3372347532871847
5,120,3,[0.55849998],0.4538834951456311,0.3801884952770666,0.4538834951456311,0.3072024468070235
5,120,6,[0.56971344],0.4603559870550162,0.4341633796450492,0.4603559870550162,0.3352991057522247
5,120,10,[0.56266801],0.46076051779935273,0.44319846043806577,0.46076051779935273,0.3372347532871847
10,40,3,[0.56388486],0.45995145631067963,0.43816523299616067,0.45995145631067963,0.31926230100841196
10,40,6,[0.56893061],0.459546925566343,0.41853268912287095,0.459546925566343,0.34443381311215154
10,40,10,[0.56791805],0.45550161812297735,0.4109839879120012,0.45550161812297735,0.3392548041047912
10,80,3,[0.56388486],0.45995145631067963,0.43816523299616067,0.45995145631067963,0.31926230100841196
10,80,6,[0.56893061],0.459546925566343,0.41853268912287095,0.459546925566343,0.34443381311215154
10,80,10,[0.56552327],0.4559061488673139,0.40805927452009955,0.4559061488673139,0.3393125822981512
10,120,3,[0.56388486],0.45995145631067963,0.43816523299616067,0.45995145631067963,0.31926230100841196
10,120,6,[0.56893061],0.459546925566343,0.41853268912287095,0.459546925566343,0.34443381311215154
10,120,10,[0.56599928],0.4546925566343042,0.41133207092208407,0.4546925566343042,0.33665419115212364
15,40,3,[0.55805043],0.4534789644012945,0.39273186499534035,0.4534789644012945,0.31331324470813504
15,40,6,[0.56068767],0.4587378640776699,0.42701907797992156,0.4587378640776699,0.32247355295784247
15,40,10,[0.55950847],0.45914239482200647,0.42810008750432793,0.45914239482200647,0.34149011613926644
15,80,3,[0.55805043],0.4534789644012945,0.39273186499534035,0.4534789644012945,0.31331324470813504
15,80,6,[0.56068767],0.4587378640776699,0.42701907797992156,0.4587378640776699,0.32247355295784247
15,80,10,[0.55882003],0.4587378640776699,0.4300487400383774,0.4587378640776699,0.3407372928576915
15,120,3,[0.55805043],0.4534789644012945,0.39273186499534035,0.4534789644012945,0.31331324470813504
15,120,6,[0.56068767],0.4587378640776699,0.42701907797992156,0.4587378640776699,0.32247355295784247
15,120,10,[0.55950847],0.45914239482200647,0.42810008750432793,0.45914239482200647,0.34149011613926644
