beam_width,min_covered_examples,max_rule_length,auc,accuracy,precision,recall,f1_score
5,40,3,[0.58037859],0.4582701062215478,0.40652721647607215,0.4582701062215478,0.3134827933999885
5,40,6,[0.58419085],0.45472938796155793,0.41879506349847134,0.45472938796155793,0.3553828471531645
5,40,10,[0.58577362],0.456752655538695,0.41962473573537096,0.456752655538695,0.3718942679515548
5,80,3,[0.58037859],0.4582701062215478,0.40652721647607215,0.4582701062215478,0.3134827933999885
5,80,6,[0.58419085],0.45472938796155793,0.41879506349847134,0.45472938796155793,0.3553828471531645
5,80,10,[0.58577362],0.456752655538695,0.41962473573537096,0.456752655538695,0.3718942679515548
5,120,3,[0.58037859],0.4582701062215478,0.40652721647607215,0.4582701062215478,0.3134827933999885
5,120,6,[0.58419085],0.45472938796155793,0.41879506349847134,0.45472938796155793,0.3553828471531645
5,120,10,[0.58551812],0.45624683864441073,0.4214861535494704,0.45624683864441073,0.37140615575182695
10,40,3,[0.58592565],0.4613050075872534,0.41051704793700594,0.4613050075872534,0.3278426221625059
10,40,6,[0.5873747],0.4552352048558422,0.3983884629712786,0.4552352048558422,0.33951661403351224
10,40,10,[0.58626831],0.4501770359129995,0.41609404331538735,0.4501770359129995,0.3632378591006998
10,80,3,[0.58592565],0.4613050075872534,0.41051704793700594,0.4613050075872534,0.3278426221625059
10,80,6,[0.5873747],0.4552352048558422,0.3983884629712786,0.4552352048558422,0.33951661403351224
10,80,10,[0.58626831],0.4501770359129995,0.41609404331538735,0.4501770359129995,0.3632378591006998
10,120,3,[0.58592565],0.4613050075872534,0.41051704793700594,0.4613050075872534,0.3278426221625059
10,120,6,[0.5873747],0.4552352048558422,0.3983884629712786,0.4552352048558422,0.33951661403351224
10,120,10,[0.58626831],0.4501770359129995,0.41609404331538735,0.4501770359129995,0.3632378591006998
15,40,3,[0.57808821],0.4587759231158321,0.39585656768794664,0.4587759231158321,0.3153793636900625
15,40,6,[0.58420478],0.4527061203844208,0.41102659182409196,0.4527061203844208,0.3564049938630283
15,40,10,[0.58288428],0.4516944865958523,0.4086827463172432,0.4516944865958523,0.36521259561074776
15,80,3,[0.57808821],0.4587759231158321,0.39585656768794664,0.4587759231158321,0.3153793636900625
15,80,6,[0.58420478],0.4527061203844208,0.41102659182409196,0.4527061203844208,0.3564049938630283
15,80,10,[0.58288428],0.4516944865958523,0.4086827463172432,0.4516944865958523,0.36521259561074776
15,120,3,[0.57808821],0.4587759231158321,0.39585656768794664,0.4587759231158321,0.3153793636900625
15,120,6,[0.58420478],0.4527061203844208,0.41102659182409196,0.4527061203844208,0.3564049938630283
15,120,10,[0.58288428],0.4516944865958523,0.4086827463172432,0.4516944865958523,0.36521259561074776
