beam_width,min_covered_examples,max_rule_length,auc,accuracy,precision,recall,f1_score
5,40,3,[0.66660989],0.45776428932726354,0.21056229721841707,0.45776428932726354,0.2884455063908087
5,40,6,[0.65726649],0.45928174001011635,0.34595491333303074,0.45928174001011635,0.29087268595839344
5,40,10,[0.65887314],0.4587759231158321,0.30083036992280526,0.4587759231158321,0.28977021291042016
5,80,3,[0.66660989],0.45776428932726354,0.21056229721841707,0.45776428932726354,0.2884455063908087
5,80,6,[0.65726649],0.45928174001011635,0.34595491333303074,0.45928174001011635,0.29087268595839344
5,80,10,[0.65887314],0.4587759231158321,0.30083036992280526,0.4587759231158321,0.28977021291042016
5,120,3,[0.66660989],0.45776428932726354,0.21056229721841707,0.45776428932726354,0.2884455063908087
5,120,6,[0.65726649],0.45928174001011635,0.34595491333303074,0.45928174001011635,0.29087268595839344
5,120,10,[0.65887314],0.4587759231158321,0.30083036992280526,0.4587759231158321,0.28977021291042016
10,40,3,[0.66606664],0.4582701062215478,0.21079496274020537,0.4582701062215478,0.2887642307072626
10,40,6,[0.65024333],0.4582701062215478,0.2106882311135015,0.4582701062215478,0.28866406968377756
10,40,10,[0.6663711],0.4587759231158321,0.21081403754512928,0.4587759231158321,0.2888824814071952
10,80,3,[0.66606664],0.4582701062215478,0.21079496274020537,0.4582701062215478,0.2887642307072626
10,80,6,[0.65024333],0.4582701062215478,0.2106882311135015,0.4582701062215478,0.28866406968377756
10,80,10,[0.6663711],0.4587759231158321,0.21081403754512928,0.4587759231158321,0.2888824814071952
10,120,3,[0.66606664],0.4582701062215478,0.21079496274020537,0.4582701062215478,0.2887642307072626
10,120,6,[0.65024333],0.4582701062215478,0.2106882311135015,0.4582701062215478,0.28866406968377756
10,120,10,[0.6663711],0.4587759231158321,0.21081403754512928,0.4587759231158321,0.2888824814071952
15,40,3,[0.66280559],0.45928174001011635,0.2109397167067201,0.45928174001011635,0.2891007417186729
15,40,6,[0.66129048],0.4587759231158321,0.21081403754512928,0.4587759231158321,0.2888824814071952
15,40,10,[0.6637094],0.45928174001011635,0.2109397167067201,0.45928174001011635,0.2891007417186729
15,80,3,[0.66280559],0.45928174001011635,0.2109397167067201,0.45928174001011635,0.2891007417186729
15,80,6,[0.66129048],0.4587759231158321,0.21081403754512928,0.4587759231158321,0.2888824814071952
15,80,10,[0.6637094],0.45928174001011635,0.2109397167067201,0.45928174001011635,0.2891007417186729
15,120,3,[0.66280559],0.45928174001011635,0.2109397167067201,0.45928174001011635,0.2891007417186729
15,120,6,[0.66129048],0.4587759231158321,0.21081403754512928,0.4587759231158321,0.2888824814071952
15,120,10,[0.6637094],0.45928174001011635,0.2109397167067201,0.45928174001011635,0.2891007417186729
