beam_width,min_covered_examples,max_rule_length,auc,accuracy,precision,recall,f1_score
5,40,3,[0.66405644],0.456752655538695,0.448597373765359,0.456752655538695,0.3982772142893486
5,40,6,[0.6664885],0.47344461305007585,0.5045547407174332,0.47344461305007585,0.4016792579556165
5,40,10,[0.66017892],0.4618108244815377,0.487331076460899,0.4618108244815377,0.36837853621430927
5,80,3,[0.66405644],0.456752655538695,0.448597373765359,0.456752655538695,0.3982772142893486
5,80,6,[0.6664885],0.47344461305007585,0.5045547407174332,0.47344461305007585,0.4016792579556165
5,80,10,[0.66017892],0.4618108244815377,0.487331076460899,0.4618108244815377,0.36837853621430927
5,120,3,[0.66405644],0.456752655538695,0.448597373765359,0.456752655538695,0.3982772142893486
5,120,6,[0.6664885],0.47344461305007585,0.5045547407174332,0.47344461305007585,0.4016792579556165
5,120,10,[0.66017892],0.4618108244815377,0.487331076460899,0.4618108244815377,0.36837853621430927
10,40,3,[0.65680961],0.47395042994436015,0.4926105724890414,0.47395042994436015,0.42115640189249903
10,40,6,[0.6656412],0.48710166919575115,0.4935663817173764,0.48710166919575115,0.44911437660735837
10,40,10,[0.66409545],0.4602933737986849,0.34650514160932566,0.4602933737986849,0.2991231545980284
10,80,3,[0.65680961],0.47395042994436015,0.4926105724890414,0.47395042994436015,0.42115640189249903
10,80,6,[0.6656412],0.48710166919575115,0.4935663817173764,0.48710166919575115,0.44911437660735837
10,80,10,[0.66409545],0.4602933737986849,0.34650514160932566,0.4602933737986849,0.2991231545980284
10,120,3,[0.65680961],0.47395042994436015,0.4926105724890414,0.47395042994436015,0.42115640189249903
10,120,6,[0.6656412],0.48710166919575115,0.4935663817173764,0.48710166919575115,0.44911437660735837
10,120,10,[0.66409545],0.4602933737986849,0.34650514160932566,0.4602933737986849,0.2991231545980284
15,40,3,[0.6648146],0.4744562468386444,0.4907104860329474,0.4744562468386444,0.43922139962795126
15,40,6,[0.66046626],0.4744562468386444,0.49398795501680554,0.4744562468386444,0.4003621300093957
15,40,10,[0.65882857],0.47850278199291857,0.48568524153601356,0.47850278199291857,0.44800048678244536
15,80,3,[0.6648146],0.4744562468386444,0.4907104860329474,0.4744562468386444,0.43922139962795126
15,80,6,[0.66046626],0.4744562468386444,0.49398795501680554,0.4744562468386444,0.4003621300093957
15,80,10,[0.65882857],0.47850278199291857,0.48568524153601356,0.47850278199291857,0.44800048678244536
15,120,3,[0.6648146],0.4744562468386444,0.4907104860329474,0.4744562468386444,0.43922139962795126
15,120,6,[0.66046626],0.4744562468386444,0.49398795501680554,0.4744562468386444,0.4003621300093957
15,120,10,[0.65882857],0.47850278199291857,0.48568524153601356,0.47850278199291857,0.44800048678244536
