beam_width,min_covered_examples,max_rule_length,auc,accuracy,precision,recall,f1_score
5,40,3,[0.76336937],0.46788062721294893,0.33814064064583815,0.46788062721294893,0.3911915488744521
5,40,6,[0.80107407],0.44916540212443096,0.315625730362309,0.44916540212443096,0.35878545476972723
5,40,10,[0.80117038],0.4501770359129995,0.3164898637815323,0.4501770359129995,0.35982519412224034
5,80,3,[0.76336937],0.46788062721294893,0.33814064064583815,0.46788062721294893,0.3911915488744521
5,80,6,[0.80107407],0.44916540212443096,0.315625730362309,0.44916540212443096,0.35878545476972723
5,80,10,[0.80117038],0.4501770359129995,0.3164898637815323,0.4501770359129995,0.35982519412224034
5,120,3,[0.76336937],0.46788062721294893,0.33814064064583815,0.46788062721294893,0.3911915488744521
5,120,6,[0.80107407],0.44916540212443096,0.315625730362309,0.44916540212443096,0.35878545476972723
5,120,10,[0.80117038],0.4501770359129995,0.3164898637815323,0.4501770359129995,0.35982519412224034
10,40,3,[0.79655022],0.49822964087000504,0.35582564193237676,0.49822964087000504,0.40786721118451014
10,40,6,[0.80260829],0.4334850784016186,0.3021483596358677,0.4334850784016186,0.34247973825256967
10,40,10,[0.80267913],0.4324734446130501,0.3012496669445097,0.4324734446130501,0.3414173857490352
10,80,3,[0.79655022],0.49822964087000504,0.35582564193237676,0.49822964087000504,0.40786721118451014
10,80,6,[0.80260829],0.4334850784016186,0.3021483596358677,0.4334850784016186,0.34247973825256967
10,80,10,[0.80267913],0.4324734446130501,0.3012496669445097,0.4324734446130501,0.3414173857490352
10,120,3,[0.79655022],0.49822964087000504,0.35582564193237676,0.49822964087000504,0.40786721118451014
10,120,6,[0.80260829],0.4334850784016186,0.3021483596358677,0.4334850784016186,0.34247973825256967
10,120,10,[0.80267913],0.4324734446130501,0.3012496669445097,0.4324734446130501,0.3414173857490352
15,40,3,[0.80362871],0.48204350025290843,0.3429360161084303,0.48204350025290843,0.39195389257254554
15,40,6,[0.80273882],0.4451188669701568,0.312323246305248,0.4451188669701568,0.35459641646950935
15,40,10,[0.80367289],0.44461305007587254,0.31188670456772233,0.44461305007587254,0.3540733534174291
15,80,3,[0.80362871],0.48204350025290843,0.3429360161084303,0.48204350025290843,0.39195389257254554
15,80,6,[0.80273882],0.4451188669701568,0.312323246305248,0.4451188669701568,0.35459641646950935
15,80,10,[0.80367289],0.44461305007587254,0.31188670456772233,0.44461305007587254,0.3540733534174291
15,120,3,[0.80362871],0.48204350025290843,0.3429360161084303,0.48204350025290843,0.39195389257254554
15,120,6,[0.80273882],0.4451188669701568,0.312323246305248,0.4451188669701568,0.35459641646950935
15,120,10,[0.80367289],0.44461305007587254,0.31188670456772233,0.44461305007587254,0.3540733534174291
