beam_width,min_covered_examples,max_rule_length,auc,accuracy,precision,recall,f1_score
5,40,3,[0.84787303],0.6909458775923116,0.7819294901388395,0.6909458775923116,0.6007479758687473
5,40,6,[0.83317162],0.6024279210925645,0.43684394173454727,0.6024279210925645,0.5060281539237826
5,40,10,[0.84246049],0.5852301466868993,0.6909815786846296,0.5852301466868993,0.5005025578204133
5,80,3,[0.84787303],0.6909458775923116,0.7819294901388395,0.6909458775923116,0.6007479758687473
5,80,6,[0.83317162],0.6024279210925645,0.43684394173454727,0.6024279210925645,0.5060281539237826
5,80,10,[0.84246049],0.5852301466868993,0.6909815786846296,0.5852301466868993,0.5005025578204133
5,120,3,[0.84787303],0.6909458775923116,0.7819294901388395,0.6909458775923116,0.6007479758687473
5,120,6,[0.83317162],0.6024279210925645,0.43684394173454727,0.6024279210925645,0.5060281539237826
5,120,10,[0.84246049],0.5852301466868993,0.6909815786846296,0.5852301466868993,0.5005025578204133
10,40,3,[0.83273623],0.6884167931208902,0.5145786939413646,0.6884167931208902,0.5860213006231083
10,40,6,[0.83108381],0.5204855842185129,0.6435723252493206,0.5204855842185129,0.4306421676980116
10,40,10,[0.82305296],0.5179564997470916,0.6416151851071672,0.5179564997470916,0.4282158795826121
10,80,3,[0.83273623],0.6884167931208902,0.5145786939413646,0.6884167931208902,0.5860213006231083
10,80,6,[0.83108381],0.5204855842185129,0.6435723252493206,0.5204855842185129,0.4306421676980116
10,80,10,[0.82305296],0.5179564997470916,0.6416151851071672,0.5179564997470916,0.4282158795826121
10,120,3,[0.83273623],0.6884167931208902,0.5145786939413646,0.6884167931208902,0.5860213006231083
10,120,6,[0.83108381],0.5204855842185129,0.6435723252493206,0.5204855842185129,0.4306421676980116
10,120,10,[0.82305296],0.5179564997470916,0.6416151851071672,0.5179564997470916,0.4282158795826121
15,40,3,[0.84039338],0.7157309054122407,0.810169843327677,0.7157309054122407,0.6211645849118174
15,40,6,[0.81449757],0.5275670207384927,0.3787176846184948,0.5275670207384927,0.4361218225784365
15,40,10,[0.81700445],0.5204855842185129,0.37325177333345316,0.5204855842185129,0.4293610673983932
15,80,3,[0.84039338],0.7157309054122407,0.810169843327677,0.7157309054122407,0.6211645849118174
15,80,6,[0.81449757],0.5275670207384927,0.3787176846184948,0.5275670207384927,0.4361218225784365
15,80,10,[0.81700445],0.5204855842185129,0.37325177333345316,0.5204855842185129,0.4293610673983932
15,120,3,[0.84039338],0.7157309054122407,0.810169843327677,0.7157309054122407,0.6211645849118174
15,120,6,[0.81449757],0.5275670207384927,0.3787176846184948,0.5275670207384927,0.4361218225784365
15,120,10,[0.81700445],0.5204855842185129,0.37325177333345316,0.5204855842185129,0.4293610673983932
