beam_width,min_covered_examples,max_rule_length,auc,accuracy,precision,recall,f1_score
5,40,3,[0.49869385],0.4587378640776699,0.48127513986609544,0.4587378640776699,0.2890630134727678
5,40,6,[0.49767646],0.45914239482200647,0.5491885690466913,0.45914239482200647,0.29010747890647887
5,40,10,[0.49227631],0.4583333333333333,0.41328327388404634,0.4583333333333333,0.2896770393962427
5,80,3,[0.49869385],0.4587378640776699,0.48127513986609544,0.4587378640776699,0.2890630134727678
5,80,6,[0.49767646],0.45914239482200647,0.5491885690466913,0.45914239482200647,0.29010747890647887
5,80,10,[0.49227631],0.4583333333333333,0.41328327388404634,0.4583333333333333,0.2896770393962427
5,120,3,[0.49869385],0.4587378640776699,0.48127513986609544,0.4587378640776699,0.2890630134727678
5,120,6,[0.49767646],0.45914239482200647,0.5491885690466913,0.45914239482200647,0.29010747890647887
5,120,10,[0.49227631],0.4583333333333333,0.41328327388404634,0.4583333333333333,0.2896770393962427
10,40,3,[0.5032781],0.4587378640776699,0.4807855263450852,0.4587378640776699,0.2889830296648821
10,40,6,[0.47171958],0.4587378640776699,0.31880894075281435,0.4587378640776699,0.2899269667413641
10,40,10,[0.4803421],0.4583333333333333,0.2102395411605938,0.4583333333333333,0.28825515773892124
10,80,3,[0.5032781],0.4587378640776699,0.4807855263450852,0.4587378640776699,0.2889830296648821
10,80,6,[0.47171958],0.4587378640776699,0.31880894075281435,0.4587378640776699,0.2899269667413641
10,80,10,[0.4803421],0.4583333333333333,0.2102395411605938,0.4583333333333333,0.28825515773892124
10,120,3,[0.5032781],0.4587378640776699,0.4807855263450852,0.4587378640776699,0.2889830296648821
10,120,6,[0.47171958],0.4587378640776699,0.31880894075281435,0.4587378640776699,0.2899269667413641
10,120,10,[0.4803421],0.4583333333333333,0.2102395411605938,0.4583333333333333,0.28825515773892124
15,40,3,[0.49926628],0.4587378640776699,0.48127513986609544,0.4587378640776699,0.2890630134727678
15,40,6,[0.49217556],0.4587378640776699,0.4813602915636089,0.4587378640776699,0.28914303989079637
15,40,10,[0.48323756],0.4571197411003236,0.21027879280010825,0.4571197411003236,0.28805153874675565
15,80,3,[0.49926628],0.4587378640776699,0.48127513986609544,0.4587378640776699,0.2890630134727678
15,80,6,[0.49217556],0.4587378640776699,0.4813602915636089,0.4587378640776699,0.28914303989079637
15,80,10,[0.48323756],0.4571197411003236,0.21027879280010825,0.4571197411003236,0.28805153874675565
15,120,3,[0.49926628],0.4587378640776699,0.48127513986609544,0.4587378640776699,0.2890630134727678
15,120,6,[0.49217556],0.4587378640776699,0.4813602915636089,0.4587378640776699,0.28914303989079637
15,120,10,[0.48323756],0.4571197411003236,0.21027879280010825,0.4571197411003236,0.28805153874675565
