beam_width,min_covered_examples,max_rule_length,auc,accuracy,precision,recall,f1_score
5,40,3,[0.51671957],0.45928174001011635,0.2109397167067201,0.45928174001011635,0.2891007417186729
5,40,6,[0.50796161],0.45776428932726354,0.41331726908250166,0.45776428932726354,0.29119062535304063
5,40,10,[0.51044142],0.456752655538695,0.3077589610783548,0.456752655538695,0.3050216341679359
5,80,3,[0.51671957],0.45928174001011635,0.2109397167067201,0.45928174001011635,0.2891007417186729
5,80,6,[0.50796161],0.45776428932726354,0.41331726908250166,0.45776428932726354,0.29119062535304063
5,80,10,[0.51044142],0.456752655538695,0.3077589610783548,0.456752655538695,0.3050216341679359
5,120,3,[0.51671957],0.45928174001011635,0.2109397167067201,0.45928174001011635,0.2891007417186729
5,120,6,[0.50796161],0.45776428932726354,0.41331726908250166,0.45776428932726354,0.29119062535304063
5,120,10,[0.51044142],0.456752655538695,0.3077589610783548,0.456752655538695,0.3050216341679359
10,40,3,[0.52163702],0.4587759231158321,0.30083036992280526,0.4587759231158321,0.28977021291042016
10,40,6,[0.5081395],0.4597875569044006,0.48165850601758275,0.4597875569044006,0.2902107311064008
10,40,10,[0.50466792],0.4582701062215478,0.4247036603569681,0.4582701062215478,0.2932691827339583
10,80,3,[0.52163702],0.4587759231158321,0.30083036992280526,0.4587759231158321,0.28977021291042016
10,80,6,[0.5081395],0.4597875569044006,0.48165850601758275,0.4597875569044006,0.2902107311064008
10,80,10,[0.50466792],0.4582701062215478,0.4247036603569681,0.4582701062215478,0.2932691827339583
10,120,3,[0.52163702],0.4587759231158321,0.30083036992280526,0.4587759231158321,0.28977021291042016
10,120,6,[0.5081395],0.4597875569044006,0.48165850601758275,0.4597875569044006,0.2902107311064008
10,120,10,[0.50466792],0.4582701062215478,0.4247036603569681,0.4582701062215478,0.2932691827339583
15,40,3,[0.52035154],0.45928174001011635,0.2109397167067201,0.45928174001011635,0.2891007417186729
15,40,6,[0.5099149],0.4597875569044006,0.34630184428221567,0.4597875569044006,0.30210380222412947
15,40,10,[0.50818567],0.45472938796155793,0.41299676192732954,0.45472938796155793,0.3108702976879492
15,80,3,[0.52035154],0.45928174001011635,0.2109397167067201,0.45928174001011635,0.2891007417186729
15,80,6,[0.5099149],0.4597875569044006,0.34630184428221567,0.4597875569044006,0.30210380222412947
15,80,10,[0.50818567],0.45472938796155793,0.41299676192732954,0.45472938796155793,0.3108702976879492
15,120,3,[0.52035154],0.45928174001011635,0.2109397167067201,0.45928174001011635,0.2891007417186729
15,120,6,[0.5099149],0.4597875569044006,0.34630184428221567,0.4597875569044006,0.30210380222412947
15,120,10,[0.50818567],0.45472938796155793,0.41299676192732954,0.45472938796155793,0.3108702976879492
