beam_width,min_covered_examples,max_rule_length,auc,accuracy,precision,recall,f1_score
5,40,3,[0.52414375],0.4590080971659919,0.21068843326394465,0.4590080971659919,0.2888105058130799
5,40,6,[0.51184045],0.4590080971659919,0.21068843326394465,0.4590080971659919,0.2888105058130799
5,40,10,[0.51365281],0.4590080971659919,0.21068843326394465,0.4590080971659919,0.2888105058130799
5,80,3,[0.52414375],0.4590080971659919,0.21068843326394465,0.4590080971659919,0.2888105058130799
5,80,6,[0.51184045],0.4590080971659919,0.21068843326394465,0.4590080971659919,0.2888105058130799
5,80,10,[0.51365281],0.4590080971659919,0.21068843326394465,0.4590080971659919,0.2888105058130799
5,120,3,[0.52414375],0.4590080971659919,0.21068843326394465,0.4590080971659919,0.2888105058130799
5,120,6,[0.51184045],0.4590080971659919,0.21068843326394465,0.4590080971659919,0.2888105058130799
5,120,10,[0.51365281],0.4590080971659919,0.21068843326394465,0.4590080971659919,0.2888105058130799
10,40,3,[0.52316946],0.4590080971659919,0.21068843326394465,0.4590080971659919,0.2888105058130799
10,40,6,[0.51743246],0.4590080971659919,0.21068843326394465,0.4590080971659919,0.2888105058130799
10,40,10,[0.50854316],0.4590080971659919,0.21068843326394465,0.4590080971659919,0.2888105058130799
10,80,3,[0.52316946],0.4590080971659919,0.21068843326394465,0.4590080971659919,0.2888105058130799
10,80,6,[0.51743246],0.4590080971659919,0.21068843326394465,0.4590080971659919,0.2888105058130799
10,80,10,[0.50854316],0.4590080971659919,0.21068843326394465,0.4590080971659919,0.2888105058130799
10,120,3,[0.52316946],0.4590080971659919,0.21068843326394465,0.4590080971659919,0.2888105058130799
10,120,6,[0.51743246],0.4590080971659919,0.21068843326394465,0.4590080971659919,0.2888105058130799
10,120,10,[0.50854316],0.4590080971659919,0.21068843326394465,0.4590080971659919,0.2888105058130799
15,40,3,[0.52453809],0.4590080971659919,0.21068843326394465,0.4590080971659919,0.2888105058130799
15,40,6,[0.5092462],0.4590080971659919,0.21068843326394465,0.4590080971659919,0.2888105058130799
15,40,10,[0.50839538],0.4590080971659919,0.21068843326394465,0.4590080971659919,0.2888105058130799
15,80,3,[0.52453809],0.4590080971659919,0.21068843326394465,0.4590080971659919,0.2888105058130799
15,80,6,[0.5092462],0.4590080971659919,0.21068843326394465,0.4590080971659919,0.2888105058130799
15,80,10,[0.50839538],0.4590080971659919,0.21068843326394465,0.4590080971659919,0.2888105058130799
15,120,3,[0.52453809],0.4590080971659919,0.21068843326394465,0.4590080971659919,0.2888105058130799
15,120,6,[0.5092462],0.4590080971659919,0.21068843326394465,0.4590080971659919,0.2888105058130799
15,120,10,[0.50839538],0.4590080971659919,0.21068843326394465,0.4590080971659919,0.2888105058130799
