beam_width,min_covered_examples,max_rule_length,auc,accuracy,precision,recall,f1_score
5,40,3,[0.48497571],0.4583333333333333,0.2102395411605938,0.4583333333333333,0.2882551577389212
5,40,6,[0.4772538],0.4587378640776699,0.3006202695472927,0.4587378640776699,0.2892207046287805
5,40,10,[0.47730493],0.4587378640776699,0.3007551131287382,0.4587378640776699,0.289220709995618
5,80,3,[0.48497571],0.4583333333333333,0.2102395411605938,0.4583333333333333,0.2882551577389212
5,80,6,[0.4772538],0.4587378640776699,0.3006202695472927,0.4587378640776699,0.2892207046287805
5,80,10,[0.47730493],0.4587378640776699,0.3007551131287382,0.4587378640776699,0.289220709995618
5,120,3,[0.48497571],0.4583333333333333,0.2102395411605938,0.4583333333333333,0.2882551577389212
5,120,6,[0.4772538],0.4587378640776699,0.3006202695472927,0.4587378640776699,0.2892207046287805
5,120,10,[0.47730493],0.4587378640776699,0.3007551131287382,0.4587378640776699,0.289220709995618
10,40,3,[0.48522401],0.4583333333333333,0.2101544583839201,0.4583333333333333,0.2881751757306696
10,40,6,[0.47725965],0.4587378640776699,0.3007055593379535,0.4587378640776699,0.2893008199773976
10,40,10,[0.47280693],0.4587378640776699,0.4813602915636089,0.4587378640776699,0.2891430398907963
10,80,3,[0.48522401],0.4583333333333333,0.2101544583839201,0.4583333333333333,0.2881751757306696
10,80,6,[0.47725965],0.4587378640776699,0.3007055593379535,0.4587378640776699,0.2893008199773976
10,80,10,[0.47280693],0.4587378640776699,0.4813602915636089,0.4587378640776699,0.2891430398907963
10,120,3,[0.48522401],0.4583333333333333,0.2101544583839201,0.4583333333333333,0.2881751757306696
10,120,6,[0.47725965],0.4587378640776699,0.3007055593379535,0.4587378640776699,0.2893008199773976
10,120,10,[0.47280693],0.4587378640776699,0.4813602915636089,0.4587378640776699,0.2891430398907963
15,40,3,[0.48962],0.4587378640776699,0.4811900570894217,0.4587378640776699,0.2889830314645162
15,40,6,[0.47361469],0.4583333333333333,0.2102395411605938,0.4583333333333333,0.2882551577389212
15,40,10,[0.47229251],0.4571197411003236,0.2101081812035159,0.4571197411003236,0.2878914211599037
15,80,3,[0.48962],0.4587378640776699,0.4811900570894217,0.4587378640776699,0.2889830314645162
15,80,6,[0.47361469],0.4583333333333333,0.2102395411605938,0.4583333333333333,0.2882551577389212
15,80,10,[0.47229251],0.4571197411003236,0.2101081812035159,0.4571197411003236,0.2878914211599037
15,120,3,[0.48962],0.4587378640776699,0.4811900570894217,0.4587378640776699,0.2889830314645162
15,120,6,[0.47361469],0.4583333333333333,0.2102395411605938,0.4583333333333333,0.2882551577389212
15,120,10,[0.46648604],0.4597875569044006,0.48172784587443573,0.4597875569044006,0.29208310938416404
