beam_width,min_covered_examples,max_rule_length,auc,accuracy,precision,recall,f1_score
5,40,3,[0.5110169],0.45928174001011635,0.2109397167067201,0.45928174001011635,0.2891007417186729
5,40,6,[0.49325542],0.4597875569044006,0.34645934576746507,0.4597875569044006,0.2903091632756346
5,40,10,[0.49760455],0.4587759231158321,0.21081403754512928,0.4587759231158321,0.2888824814071952
5,80,3,[0.5110169],0.45928174001011635,0.2109397167067201,0.45928174001011635,0.2891007417186729
5,80,6,[0.49325542],0.4597875569044006,0.34645934576746507,0.4597875569044006,0.2903091632756346
5,80,10,[0.49760455],0.4587759231158321,0.21081403754512928,0.4587759231158321,0.2888824814071952
5,120,3,[0.5110169],0.45928174001011635,0.2109397167067201,0.45928174001011635,0.2891007417186729
5,120,6,[0.49325542],0.4597875569044006,0.34645934576746507,0.4597875569044006,0.2903091632756346
5,120,10,[0.49760455],0.4587759231158321,0.21081403754512928,0.4587759231158321,0.2888824814071952
10,40,3,[0.5007283],0.45928174001011635,0.2109397167067201,0.45928174001011635,0.2891007417186729
10,40,6,[0.5040606],0.45928174001011635,0.2109397167067201,0.45928174001011635,0.2891007417186729
10,40,10,[0.4950523],0.45928174001011635,0.26526289653530816,0.45928174001011635,0.2902859565064204
10,80,3,[0.5007283],0.45928174001011635,0.2109397167067201,0.45928174001011635,0.2891007417186729
10,80,6,[0.5040606],0.45928174001011635,0.2109397167067201,0.45928174001011635,0.2891007417186729
10,80,10,[0.4950523],0.45928174001011635,0.26526289653530816,0.45928174001011635,0.2902859565064204
10,120,3,[0.5007283],0.45928174001011635,0.2109397167067201,0.45928174001011635,0.2891007417186729
10,120,6,[0.5040606],0.45928174001011635,0.2109397167067201,0.45928174001011635,0.2891007417186729
10,120,10,[0.4950523],0.45928174001011635,0.26526289653530816,0.45928174001011635,0.2902859565064204
15,40,3,[0.50990097],0.45928174001011635,0.2109397167067201,0.45928174001011635,0.2891007417186729
15,40,6,[0.49481988],0.45928174001011635,0.2109397167067201,0.45928174001011635,0.2891007417186729
15,40,10,[0.48244387],0.45928174001011635,0.2109397167067201,0.45928174001011635,0.2891007417186729
15,80,3,[0.50990097],0.45928174001011635,0.2109397167067201,0.45928174001011635,0.2891007417186729
15,80,6,[0.49481988],0.45928174001011635,0.2109397167067201,0.45928174001011635,0.2891007417186729
15,80,10,[0.48244387],0.45928174001011635,0.2109397167067201,0.45928174001011635,0.2891007417186729
15,120,3,[0.50990097],0.45928174001011635,0.2109397167067201,0.45928174001011635,0.2891007417186729
15,120,6,[0.49481988],0.45928174001011635,0.2109397167067201,0.45928174001011635,0.2891007417186729
15,120,10,[0.48244387],0.45928174001011635,0.2109397167067201,0.45928174001011635,0.2891007417186729
