beam_width,min_covered_examples,max_rule_length,auc,accuracy,precision,recall,f1_score
5,40,3,[0.65362397],0.4714213454729388,0.4711178134531599,0.4714213454729388,0.456819063303373
5,40,6,[0.56948566],0.4613050075872534,0.4556701910938201,0.4613050075872534,0.4336244542684969
5,40,10,[0.57520962],0.4516944865958523,0.4479218697115131,0.4516944865958523,0.42991732344209627
5,80,3,[0.65362397],0.4714213454729388,0.4711178134531599,0.4714213454729388,0.456819063303373
5,80,6,[0.56948566],0.4613050075872534,0.4556701910938201,0.4613050075872534,0.4336244542684969
5,80,10,[0.57520962],0.4516944865958523,0.4479218697115131,0.4516944865958523,0.42991732344209627
5,120,3,[0.65362397],0.4714213454729388,0.4711178134531599,0.4714213454729388,0.456819063303373
5,120,6,[0.56948566],0.4613050075872534,0.4556701910938201,0.4613050075872534,0.4336244542684969
5,120,10,[0.57520962],0.4516944865958523,0.4479218697115131,0.4516944865958523,0.42991732344209627
10,40,3,[0.65650137],0.4668689934243804,0.4678227554389027,0.4668689934243804,0.4551337278014975
10,40,6,[0.56828037],0.44157814871016693,0.4310995903033526,0.44157814871016693,0.4161594318614094
10,40,10,[0.5772636],0.45725847243297923,0.452739772047919,0.45725847243297923,0.43507924769384915
10,80,3,[0.65650137],0.4668689934243804,0.4678227554389027,0.4668689934243804,0.4551337278014975
10,80,6,[0.56828037],0.44157814871016693,0.4310995903033526,0.44157814871016693,0.4161594318614094
10,80,10,[0.5772636],0.45725847243297923,0.452739772047919,0.45725847243297923,0.43507924769384915
10,120,3,[0.65650137],0.4668689934243804,0.4678227554389027,0.4668689934243804,0.4551337278014975
10,120,6,[0.56828037],0.44157814871016693,0.4310995903033526,0.44157814871016693,0.4161594318614094
10,120,10,[0.5772636],0.45725847243297923,0.452739772047919,0.45725847243297923,0.43507924769384915
15,40,3,[0.65931072],0.4845725847243298,0.48641058725290914,0.4845725847243298,0.47891341818946187
15,40,6,[0.57823347],0.4597875569044006,0.45516463614420477,0.4597875569044006,0.438448151006468
15,40,10,[0.57491193],0.4527061203844208,0.44912948349324455,0.4527061203844208,0.42932759671482656
15,80,3,[0.65931072],0.4845725847243298,0.48641058725290914,0.4845725847243298,0.47891341818946187
15,80,6,[0.57823347],0.4597875569044006,0.45516463614420477,0.4597875569044006,0.438448151006468
15,80,10,[0.57491193],0.4527061203844208,0.44912948349324455,0.4527061203844208,0.42932759671482656
15,120,3,[0.65931072],0.4845725847243298,0.48641058725290914,0.4845725847243298,0.47891341818946187
15,120,6,[0.57823347],0.4597875569044006,0.45516463614420477,0.4597875569044006,0.438448151006468
15,120,10,[0.57491193],0.4527061203844208,0.44912948349324455,0.4527061203844208,0.42932759671482656
