beam_width,min_covered_examples,max_rule_length,auc,accuracy,precision,recall,f1_score
5,40,3,[0.99632166],0.9367728882144664,0.9415817129222206,0.9367728882144664,0.9351243159539284
5,40,6,[0.99758605],0.928679817905918,0.937207608980987,0.928679817905918,0.9260781140263888
5,40,10,[0.9976159],0.919069296914517,0.9295887175792049,0.919069296914517,0.9155871649855091
5,80,3,[0.99632166],0.9367728882144664,0.9415817129222206,0.9367728882144664,0.9351243159539284
5,80,6,[0.99758605],0.928679817905918,0.937207608980987,0.928679817905918,0.9260781140263888
5,80,10,[0.9976159],0.919069296914517,0.9295887175792049,0.919069296914517,0.9155871649855091
5,120,3,[0.99632166],0.9367728882144664,0.9415817129222206,0.9367728882144664,0.9351243159539284
5,120,6,[0.99758605],0.928679817905918,0.937207608980987,0.928679817905918,0.9260781140263888
5,120,10,[0.9976159],0.919069296914517,0.9295887175792049,0.919069296914517,0.9155871649855091
10,40,3,[0.99858239],0.939807789580172,0.9467823495022358,0.939807789580172,0.9379593724395394
10,40,6,[0.99870537],0.9205867475973698,0.9322936777637669,0.9205867475973698,0.9170122407313929
10,40,10,[0.99871174],0.9215983813859383,0.9330304142036048,0.9215983813859383,0.918132897606756
10,80,3,[0.99858239],0.939807789580172,0.9467823495022358,0.939807789580172,0.9379593724395394
10,80,6,[0.99870537],0.9205867475973698,0.9322936777637669,0.9205867475973698,0.9170122407313929
10,80,10,[0.99871174],0.9215983813859383,0.9330304142036048,0.9215983813859383,0.918132897606756
10,120,3,[0.99858239],0.939807789580172,0.9467823495022358,0.939807789580172,0.9379593724395394
10,120,6,[0.99870537],0.9205867475973698,0.9322936777637669,0.9205867475973698,0.9170122407313929
10,120,10,[0.99871174],0.9215983813859383,0.9330304142036048,0.9215983813859383,0.918132897606756
15,40,3,[0.99876944],0.9372787051087507,0.9448149847274666,0.9372787051087507,0.9352425703620543
15,40,6,[0.9995278],0.9301972685887708,0.9390537396535251,0.9301972685887708,0.9276259656621486
15,40,10,[0.9993899],0.9200809307030855,0.9315179070589981,0.9200809307030855,0.9165155336820419
15,80,3,[0.99876944],0.9372787051087507,0.9448149847274666,0.9372787051087507,0.9352425703620543
15,80,6,[0.9995278],0.9301972685887708,0.9390537396535251,0.9301972685887708,0.9276259656621486
15,80,10,[0.9993899],0.9200809307030855,0.9315179070589981,0.9200809307030855,0.9165155336820419
15,120,3,[0.99876944],0.9372787051087507,0.9448149847274666,0.9372787051087507,0.9352425703620543
15,120,6,[0.9995278],0.9301972685887708,0.9390537396535251,0.9301972685887708,0.9276259656621486
15,120,10,[0.9993899],0.9200809307030855,0.9315179070589981,0.9200809307030855,0.9165155336820419
