beam_width,min_covered_examples,max_rule_length,auc,accuracy,precision,recall,f1_score
5,40,3,[0.55521832],0.44538834951456313,0.4284912482021441,0.44538834951456313,0.4169032025312444
5,40,6,[0.53979612],0.42475728155339804,0.4016577669478003,0.42475728155339804,0.39147792651565083
5,40,10,[0.53979612],0.42475728155339804,0.4016577669478003,0.42475728155339804,0.39147792651565083
5,80,3,[0.55521832],0.44538834951456313,0.4284912482021441,0.44538834951456313,0.4169032025312444
5,80,6,[0.53979612],0.42475728155339804,0.4016577669478003,0.42475728155339804,0.39147792651565083
5,80,10,[0.53979612],0.42475728155339804,0.4016577669478003,0.42475728155339804,0.39147792651565083
5,120,3,[0.55521832],0.44538834951456313,0.4284912482021441,0.44538834951456313,0.4169032025312444
5,120,6,[0.53979612],0.42475728155339804,0.4016577669478003,0.42475728155339804,0.39147792651565083
5,120,10,[0.53979612],0.42475728155339804,0.4016577669478003,0.42475728155339804,0.39147792651565083
10,40,3,[0.53960048],0.4320388349514563,0.40976562997413446,0.4320388349514563,0.40034930822926146
10,40,6,[0.54447209],0.4231391585760518,0.4032315353227058,0.4231391585760518,0.3945969951366899
10,40,10,[0.54447209],0.4231391585760518,0.4032315353227058,0.4231391585760518,0.3945969951366899
10,80,3,[0.53960048],0.4320388349514563,0.40976562997413446,0.4320388349514563,0.40034930822926146
10,80,6,[0.54447209],0.4231391585760518,0.4032315353227058,0.4231391585760518,0.3945969951366899
10,80,10,[0.54447209],0.4231391585760518,0.4032315353227058,0.4231391585760518,0.3945969951366899
10,120,3,[0.53960048],0.4320388349514563,0.40976562997413446,0.4320388349514563,0.40034930822926146
10,120,6,[0.54447209],0.4231391585760518,0.4032315353227058,0.4231391585760518,0.3945969951366899
10,120,10,[0.54447209],0.4231391585760518,0.4032315353227058,0.4231391585760518,0.3945969951366899
15,40,3,[0.55516197],0.438915857605178,0.4201723235766823,0.438915857605178,0.4081585051421854
15,40,6,[0.53913338],0.4372977346278317,0.4199813249944915,0.4372977346278317,0.40594399202083475
15,40,10,[0.53913338],0.4372977346278317,0.4199813249944915,0.4372977346278317,0.40594399202083475
15,80,3,[0.55516197],0.438915857605178,0.4201723235766823,0.438915857605178,0.4081585051421854
15,80,6,[0.53913338],0.4372977346278317,0.4199813249944915,0.4372977346278317,0.40594399202083475
15,80,10,[0.53913338],0.4372977346278317,0.4199813249944915,0.4372977346278317,0.40594399202083475
15,120,3,[0.55516197],0.438915857605178,0.4201723235766823,0.438915857605178,0.4081585051421854
15,120,6,[0.53913338],0.4372977346278317,0.4199813249944915,0.4372977346278317,0.40594399202083475
15,120,10,[0.53913338],0.4372977346278317,0.4199813249944915,0.4372977346278317,0.40594399202083475
