beam_width,min_covered_examples,max_rule_length,auc,accuracy,precision,recall,f1_score
5,40,3,[0.53676949],0.43370445344129555,0.39553140100721895,0.43370445344129555,0.3655307371549884
5,40,6,[0.52275342],0.42105263157894735,0.377404129760696,0.42105263157894735,0.37384661721359636
5,40,10,[0.52127665],0.41295546558704455,0.37641147751106685,0.41295546558704455,0.3762384064833751
5,80,3,[0.53676949],0.43370445344129555,0.39553140100721895,0.43370445344129555,0.3655307371549884
5,80,6,[0.52275342],0.42105263157894735,0.377404129760696,0.42105263157894735,0.37384661721359636
5,80,10,[0.52127665],0.41295546558704455,0.37641147751106685,0.41295546558704455,0.3762384064833751
5,120,3,[0.53676949],0.43370445344129555,0.39553140100721895,0.43370445344129555,0.3655307371549884
5,120,6,[0.52275342],0.42105263157894735,0.377404129760696,0.42105263157894735,0.37384661721359636
5,120,10,[0.52127665],0.41295546558704455,0.37641147751106685,0.41295546558704455,0.3762384064833751
10,40,3,[0.54145572],0.41295546558704455,0.38446259633424407,0.41295546558704455,0.37613494043830115
10,40,6,[0.51400253],0.4068825910931174,0.3624679445937663,0.4068825910931174,0.3645276091527123
10,40,10,[0.52916915],0.4251012145748988,0.38363442498734235,0.4251012145748988,0.37592489789521777
10,80,3,[0.54145572],0.41295546558704455,0.38446259633424407,0.41295546558704455,0.37613494043830115
10,80,6,[0.51400253],0.4068825910931174,0.3624679445937663,0.4068825910931174,0.3645276091527123
10,80,10,[0.52916915],0.4251012145748988,0.38363442498734235,0.4251012145748988,0.37592489789521777
10,120,3,[0.54145572],0.41295546558704455,0.38446259633424407,0.41295546558704455,0.37613494043830115
10,120,6,[0.51400253],0.4068825910931174,0.3624679445937663,0.4068825910931174,0.3645276091527123
10,120,10,[0.52916915],0.4251012145748988,0.38363442498734235,0.4251012145748988,0.37592489789521777
15,40,3,[0.53336226],0.4342105263157895,0.3707783868824108,0.4342105263157895,0.3464261245701054
15,40,6,[0.50964073],0.3967611336032389,0.3543743053302957,0.3967611336032389,0.3583491880570747
15,40,10,[0.52395774],0.4073886639676113,0.36415739448803786,0.4073886639676113,0.36549039057690275
15,80,3,[0.53336226],0.4342105263157895,0.3707783868824108,0.4342105263157895,0.3464261245701054
15,80,6,[0.50964073],0.3967611336032389,0.3543743053302957,0.3967611336032389,0.3583491880570747
15,80,10,[0.52395774],0.4073886639676113,0.36415739448803786,0.4073886639676113,0.36549039057690275
15,120,3,[0.53336226],0.4342105263157895,0.3707783868824108,0.4342105263157895,0.3464261245701054
15,120,6,[0.50964073],0.3967611336032389,0.3543743053302957,0.3967611336032389,0.3583491880570747
15,120,10,[0.52395774],0.4073886639676113,0.36415739448803786,0.4073886639676113,0.36549039057690275
