beam_width,min_covered_examples,max_rule_length,auc,accuracy,precision,recall,f1_score
5,40,3,[0.55723059],0.44983818770226536,0.43312986285995014,0.44983818770226536,0.4160536901388102
5,40,6,[0.53513772],0.4348705501618123,0.41417814073354603,0.4348705501618123,0.3990197285058664
5,40,10,[0.53513772],0.4348705501618123,0.41417814073354603,0.4348705501618123,0.3990197285058664
5,80,3,[0.55723059],0.44983818770226536,0.43312986285995014,0.44983818770226536,0.4160536901388102
5,80,6,[0.53513772],0.4348705501618123,0.41417814073354603,0.4348705501618123,0.3990197285058664
5,80,10,[0.53513772],0.4348705501618123,0.41417814073354603,0.4348705501618123,0.3990197285058664
5,120,3,[0.55723059],0.44983818770226536,0.43312986285995014,0.44983818770226536,0.4160536901388102
5,120,6,[0.53513772],0.4348705501618123,0.41417814073354603,0.4348705501618123,0.3990197285058664
5,120,10,[0.53513772],0.4348705501618123,0.41417814073354603,0.4348705501618123,0.3990197285058664
10,40,3,[0.53742831],0.42718446601941745,0.40484603369212085,0.42718446601941745,0.3969997067689489
10,40,6,[0.5462966],0.4449838187702265,0.4276250110691674,0.4449838187702265,0.41173900248583867
10,40,10,[0.5462966],0.4449838187702265,0.4276250110691674,0.4449838187702265,0.41173900248583867
10,80,3,[0.53742831],0.42718446601941745,0.40484603369212085,0.42718446601941745,0.3969997067689489
10,80,6,[0.5462966],0.4449838187702265,0.4276250110691674,0.4449838187702265,0.41173900248583867
10,80,10,[0.5462966],0.4449838187702265,0.4276250110691674,0.4449838187702265,0.41173900248583867
10,120,3,[0.53742831],0.42718446601941745,0.40484603369212085,0.42718446601941745,0.3969997067689489
10,120,6,[0.5462966],0.4449838187702265,0.4276250110691674,0.4449838187702265,0.41173900248583867
10,120,10,[0.5462966],0.4449838187702265,0.4276250110691674,0.4449838187702265,0.41173900248583867
15,40,3,[0.5568739],0.4368932038834951,0.41798105118600576,0.4368932038834951,0.4053533755907306
15,40,6,[0.53951067],0.438915857605178,0.422642379752173,0.438915857605178,0.4079206901992053
15,40,10,[0.53951067],0.438915857605178,0.422642379752173,0.438915857605178,0.4079206901992053
15,80,3,[0.5568739],0.4368932038834951,0.41798105118600576,0.4368932038834951,0.4053533755907306
15,80,6,[0.53951067],0.438915857605178,0.422642379752173,0.438915857605178,0.4079206901992053
15,80,10,[0.53951067],0.438915857605178,0.422642379752173,0.438915857605178,0.4079206901992053
15,120,3,[0.5568739],0.4368932038834951,0.41798105118600576,0.4368932038834951,0.4053533755907306
15,120,6,[0.53951067],0.438915857605178,0.422642379752173,0.438915857605178,0.4079206901992053
15,120,10,[0.53951067],0.438915857605178,0.422642379752173,0.438915857605178,0.4079206901992053
