n_components,n_iter,covariance_type,bic
2,10,spherical,119028.33538442
2,10,tied,-83661.44468615047
2,10,diag,87888.00436118366
2,10,full,-142808.56816377764
2,20,spherical,119028.33552701284
2,20,tied,-78117.38246770483
2,20,diag,87887.80517702438
2,20,full,-138298.75935370094
2,30,spherical,119028.33608292224
2,30,tied,-78116.68287324175
2,30,diag,87887.80729019993
2,30,full,-143089.0824729084
2,40,spherical,119028.33506823676
2,40,tied,-83661.43666822795
2,40,diag,87887.92037804068
2,40,full,-137930.4152597491
2,50,spherical,119028.33562334656
2,50,tied,-78117.3763998066
2,50,diag,87994.07987963443
2,50,full,-138329.30151591572
2,60,spherical,119028.33569251244
2,60,tied,-83682.99770121247
2,60,diag,87887.80733280159
2,60,full,-143397.79281887563
2,70,spherical,119028.3352455602
2,70,tied,-83682.90952792822
2,70,diag,87887.80735502407
2,70,full,-138329.57672107505
2,80,spherical,119028.33536131177
2,80,tied,-83682.6941407942
2,80,diag,87887.79850592352
2,80,full,-137808.59920324732
2,90,spherical,119028.3353809851
2,90,tied,-83017.01154702035
2,90,diag,87887.90661098198
2,90,full,-138268.41821481913
2,100,spherical,119028.33561793048
2,100,tied,-83661.2920809325
2,100,diag,87887.80714404592
2,100,full,-138187.06660797514
2,110,spherical,119028.33529097312
2,110,tied,-80071.20521241709
2,110,diag,87887.92053439542
2,110,full,-143060.6764604914
2,120,spherical,119028.33560467412
2,120,tied,-78117.15256608419
2,120,diag,87989.90900331593
2,120,full,-143067.25137497674
2,130,spherical,119028.33522740564
2,130,tied,-78116.9747799664
2,130,diag,87887.83944184262
2,130,full,-142777.0195097481
2,140,spherical,119028.33533276316
2,140,tied,-83661.26724720902
2,140,diag,87887.80242257
2,140,full,-138224.53563431106
3,10,spherical,109352.818900069
3,10,tied,-82208.26786762085
3,10,diag,68199.01889720366
3,10,full,-149396.39959041087
3,20,spherical,109352.8192310226
3,20,tied,-83240.62712968077
3,20,diag,68198.63489490486
3,20,full,-176761.3876003021
3,30,spherical,109352.8191155057
3,30,tied,-82214.55502318207
3,30,diag,68198.52297375043
3,30,full,-176971.92313409943
3,40,spherical,109352.81898292796
3,40,tied,-87084.07873507733
3,40,diag,68198.31258077052
3,40,full,-177642.40108016122
3,50,spherical,109352.8191397388
3,50,tied,-87891.311249201
3,50,diag,68198.3213825406
3,50,full,-176258.0143352795
3,60,spherical,109352.81884789364
3,60,tied,-87891.25491592665
3,60,diag,66031.18458166879
3,60,full,-175873.44828728205
3,70,spherical,109352.8192697654
3,70,tied,-87845.50218047634
3,70,diag,66031.00777507936
3,70,full,-175612.5411230995
3,80,spherical,109352.81889084596
3,80,tied,-89287.657282694
3,80,diag,68198.53570374077
3,80,full,-175544.62293501195
3,90,spherical,109352.81915294792
3,90,tied,-82214.72313555692
3,90,diag,68198.52785673499
3,90,full,-150795.29971297595
