units,optimizer,epochs,timesteps,diff_order,accuracy,precision,recall,f1_score,auc_roc
50,adam,1,30,1,0.8485477178423236,0.7200332294554157,0.8485477178423236,0.7790258509483958,
50,adam,1,30,2,0.9294605809128631,0.8638969714708769,0.9294605809128631,0.8954803016106724,
50,adam,1,30,3,0.9356846473029046,0.8755057591983609,0.9356846473029046,0.9045954468030225,
50,adam,1,60,1,0.8485477178423236,0.7200332294554157,0.8485477178423236,0.7790258509483958,
50,adam,1,60,2,0.9294605809128631,0.8638969714708769,0.9294605809128631,0.8954803016106724,
50,adam,1,60,3,0.9356846473029046,0.8755057591983609,0.9356846473029046,0.9045954468030225,
50,adam,1,90,1,0.8485477178423236,0.7200332294554157,0.8485477178423236,0.7790258509483958,
50,adam,1,90,2,0.9294605809128631,0.8638969714708769,0.9294605809128631,0.8954803016106724,
50,adam,1,90,3,0.9356846473029046,0.8755057591983609,0.9356846473029046,0.9045954468030225,
50,adam,3,30,1,0.8485477178423236,0.7200332294554157,0.8485477178423236,0.7790258509483958,
50,adam,3,30,2,0.9294605809128631,0.8638969714708769,0.9294605809128631,0.8954803016106724,
50,adam,3,30,3,0.9356846473029046,0.8755057591983609,0.9356846473029046,0.9045954468030225,
50,adam,3,60,1,0.8485477178423236,0.7200332294554157,0.8485477178423236,0.7790258509483958,
50,adam,3,60,2,0.9294605809128631,0.8638969714708769,0.9294605809128631,0.8954803016106724,
50,adam,3,60,3,0.9356846473029046,0.8755057591983609,0.9356846473029046,0.9045954468030225,
50,adam,3,90,1,0.8485477178423236,0.7200332294554157,0.8485477178423236,0.7790258509483958,
50,adam,3,90,2,0.9294605809128631,0.8638969714708769,0.9294605809128631,0.8954803016106724,
50,adam,3,90,3,0.9356846473029046,0.8755057591983609,0.9356846473029046,0.9045954468030225,
50,adam,5,30,1,0.8485477178423236,0.7200332294554157,0.8485477178423236,0.7790258509483958,
50,adam,5,30,2,0.9294605809128631,0.8638969714708769,0.9294605809128631,0.8954803016106724,
50,adam,5,30,3,0.9356846473029046,0.8755057591983609,0.9356846473029046,0.9045954468030225,
50,adam,5,60,1,0.8485477178423236,0.7200332294554157,0.8485477178423236,0.7790258509483958,
50,adam,5,60,2,0.9294605809128631,0.8638969714708769,0.9294605809128631,0.8954803016106724,
50,adam,5,60,3,0.9356846473029046,0.8755057591983609,0.9356846473029046,0.9045954468030225,
50,adam,5,90,1,0.8485477178423236,0.7200332294554157,0.8485477178423236,0.7790258509483958,
50,adam,5,90,2,0.9294605809128631,0.8638969714708769,0.9294605809128631,0.8954803016106724,
50,adam,5,90,3,0.9356846473029046,0.8755057591983609,0.9356846473029046,0.9045954468030225,
50,rmsprop,1,30,1,0.8485477178423236,0.7200332294554157,0.8485477178423236,0.7790258509483958,
50,rmsprop,1,30,2,0.9294605809128631,0.8638969714708769,0.9294605809128631,0.8954803016106724,
50,rmsprop,1,30,3,0.9356846473029046,0.8755057591983609,0.9356846473029046,0.9045954468030225,
50,rmsprop,1,60,1,0.8485477178423236,0.7200332294554157,0.8485477178423236,0.7790258509483958,
50,rmsprop,1,60,2,0.9294605809128631,0.8638969714708769,0.9294605809128631,0.8954803016106724,
50,rmsprop,1,60,3,0.9356846473029046,0.8755057591983609,0.9356846473029046,0.9045954468030225,
50,rmsprop,1,90,1,0.8485477178423236,0.7200332294554157,0.8485477178423236,0.7790258509483958,
50,rmsprop,1,90,2,0.9294605809128631,0.8638969714708769,0.9294605809128631,0.8954803016106724,
50,rmsprop,1,90,3,0.9356846473029046,0.8755057591983609,0.9356846473029046,0.9045954468030225,
50,rmsprop,3,30,1,0.8485477178423236,0.7200332294554157,0.8485477178423236,0.7790258509483958,
50,rmsprop,3,30,2,0.9128630705394191,0.8872589176001283,0.9128630705394191,0.898036445517855,
50,rmsprop,3,30,3,0.9356846473029046,0.8755057591983609,0.9356846473029046,0.9045954468030225,
50,rmsprop,3,60,1,0.8485477178423236,0.7200332294554157,0.8485477178423236,0.7790258509483958,
50,rmsprop,3,60,2,0.9294605809128631,0.8638969714708769,0.9294605809128631,0.8954803016106724,
50,rmsprop,3,60,3,0.9356846473029046,0.8755057591983609,0.9356846473029046,0.9045954468030225,
50,rmsprop,3,90,1,0.8485477178423236,0.7200332294554157,0.8485477178423236,0.7790258509483958,
50,rmsprop,3,90,2,0.9294605809128631,0.8638969714708769,0.9294605809128631,0.8954803016106724,
50,rmsprop,3,90,3,0.9356846473029046,0.8755057591983609,0.9356846473029046,0.9045954468030225,
50,rmsprop,5,30,1,0.8485477178423236,0.7200332294554157,0.8485477178423236,0.7790258509483958,
50,rmsprop,5,30,2,0.9294605809128631,0.8638969714708769,0.9294605809128631,0.8954803016106724,
50,rmsprop,5,30,3,0.9356846473029046,0.8755057591983609,0.9356846473029046,0.9045954468030225,
50,rmsprop,5,60,1,0.8485477178423236,0.8007510898681653,0.8485477178423236,0.7933542313493097,
50,rmsprop,5,60,2,0.9294605809128631,0.8638969714708769,0.9294605809128631,0.8954803016106724,
50,rmsprop,5,60,3,0.9356846473029046,0.8755057591983609,0.9356846473029046,0.9045954468030225,
50,rmsprop,5,90,1,0.8485477178423236,0.7200332294554157,0.8485477178423236,0.7790258509483958,
50,rmsprop,5,90,2,0.9273858921161826,0.8637606645905401,0.9273858921161826,0.8944432285641545,
50,rmsprop,5,90,3,0.9356846473029046,0.8755057591983609,0.9356846473029046,0.9045954468030225,
50,sgd,1,30,1,0.8485477178423236,0.7200332294554157,0.8485477178423236,0.7790258509483958,
