units,optimizer,epochs,timesteps,diff_order,accuracy,precision,recall,f1_score,auc_roc
50,adam,1,30,1,0.8506224066390041,0.7235584786763313,0.8506224066390041,0.7819623020672458,
50,adam,1,30,2,0.9294605809128631,0.8638969714708769,0.9294605809128631,0.8954803016106724,
50,adam,1,30,3,0.9336099585062241,0.8716275546219934,0.9336099585062241,0.9015546809609459,
50,adam,1,60,1,0.8506224066390041,0.7235584786763313,0.8506224066390041,0.7819623020672458,
50,adam,1,60,2,0.9294605809128631,0.8638969714708769,0.9294605809128631,0.8954803016106724,
50,adam,1,60,3,0.9336099585062241,0.8716275546219934,0.9336099585062241,0.9015546809609459,
50,adam,1,90,1,0.8506224066390041,0.7235584786763313,0.8506224066390041,0.7819623020672458,
50,adam,1,90,2,0.9294605809128631,0.8638969714708769,0.9294605809128631,0.8954803016106724,
50,adam,1,90,3,0.9336099585062241,0.8716275546219934,0.9336099585062241,0.9015546809609459,
50,adam,3,30,1,0.8506224066390041,0.7235584786763313,0.8506224066390041,0.7819623020672458,
50,adam,3,30,2,0.9294605809128631,0.8638969714708769,0.9294605809128631,0.8954803016106724,
50,adam,3,30,3,0.9336099585062241,0.8716275546219934,0.9336099585062241,0.9015546809609459,
50,adam,3,60,1,0.8506224066390041,0.7235584786763313,0.8506224066390041,0.7819623020672458,
50,adam,3,60,2,0.9294605809128631,0.8638969714708769,0.9294605809128631,0.8954803016106724,
50,adam,3,60,3,0.9336099585062241,0.8716275546219934,0.9336099585062241,0.9015546809609459,
50,adam,3,90,1,0.8506224066390041,0.7235584786763313,0.8506224066390041,0.7819623020672458,
50,adam,3,90,2,0.9294605809128631,0.8638969714708769,0.9294605809128631,0.8954803016106724,
50,adam,3,90,3,0.9336099585062241,0.8716275546219934,0.9336099585062241,0.9015546809609459,
50,adam,5,30,1,0.8506224066390041,0.7235584786763313,0.8506224066390041,0.7819623020672458,
50,adam,5,30,2,0.9294605809128631,0.8638969714708769,0.9294605809128631,0.8954803016106724,
50,adam,5,30,3,0.9336099585062241,0.8716275546219934,0.9336099585062241,0.9015546809609459,
50,adam,5,60,1,0.8506224066390041,0.7235584786763313,0.8506224066390041,0.7819623020672458,
