max_rule_length,seed,n_trees,auc_roc,accuracy,auc_pr,f1_score,precision,recall
3.0,1.0,50.0,,0.45841784989858014,,0.36993007972999303,0.33295052300839195,0.45841784989858014
3.0,1.0,100.0,,0.4563894523326572,,0.36752484370539,0.3307873861963637,0.4563894523326572
3.0,1.0,150.0,,0.45841784989858014,,0.36993007972999303,0.33295052300839195,0.45841784989858014
3.0,1.0,200.0,,0.45841784989858014,,0.36993007972999303,0.33295052300839195,0.45841784989858014
6.0,1.0,50.0,,0.45841784989858014,,0.36993007972999303,0.33295052300839195,0.45841784989858014
6.0,1.0,100.0,,0.45841784989858014,,0.36993007972999303,0.33295052300839195,0.45841784989858014
6.0,1.0,150.0,,0.4563894523326572,,0.36752484370539,0.3307873861963637,0.4563894523326572
6.0,1.0,200.0,,0.45841784989858014,,0.36993007972999303,0.33295052300839195,0.45841784989858014
10.0,1.0,50.0,,0.45841784989858014,,0.36993007972999303,0.33295052300839195,0.45841784989858014
10.0,1.0,100.0,,0.4563894523326572,,0.36752484370539,0.3307873861963637,0.4563894523326572
10.0,1.0,150.0,,0.45841784989858014,,0.36993007972999303,0.33295052300839195,0.45841784989858014
