Open time,Quote asset volume,Number of trades,Taker buy base asset volume,aroon_down,stoch,class
1502928000000,3454770.05073206,3427,616.248541,40.595014303228446,54.39324165471406,0
1503014400000,5086958.30617151,5233,972.86871,40.595014303228446,54.39324165471406,-1
1503100800000,1549483.73542151,2153,274.336042,40.595014303228446,54.39324165471406,1
1503187200000,1930364.39032646,2321,376.795947,40.595014303228446,54.39324165471406,0
1503273600000,2797231.71402728,3972,557.356107,40.595014303228446,54.39324165471406,-1
1503360000000,3752505.77214051,6494,423.995181,40.595014303228446,54.39324165471406,0
1503446400000,4148686.46581968,8629,309.419092,40.595014303228446,54.39324165471406,0
1503532800000,3296476.41316476,6247,206.820412,40.595014303228446,54.39324165471406,1
1503619200000,2484637.34936327,6554,100.097974,40.595014303228446,54.39324165471406,-1
1503705600000,977865.7333321,2260,56.190141,40.595014303228446,54.39324165471406,1
1503792000000,1521580.06202557,3670,101.651358,40.595014303228446,54.39324165471406,-1
1503878400000,2591660.52579953,4349,142.787782,40.595014303228446,54.39324165471406,0
1503964800000,2682483.73582991,4159,143.442567,40.595014303228446,54.39324165471406,1
1504051200000,3683714.68666123,5551,196.062252,40.595014303228446,92.59565053586743,-1
1504137600000,2579878.72401184,4161,131.947325,40.595014303228446,98.47408244265732,0
1504224000000,2665165.55924616,4000,118.660103,40.595014303228446,96.59116152266836,1
1504310400000,4257723.944817,7475,379.199863,40.595014303228446,69.65611782820838,-1
1504396800000,3121052.75230181,6022,258.934536,40.595014303228446,72.05608144543561,1
1504483200000,5909947.49008974,9317,578.600851,40.595014303228446,45.48561256245167,-1
1504569600000,5083453.18675071,10084,533.476065,40.595014303228446,57.13783219452327,0
1504656000000,3626346.05544323,7956,422.923063,40.595014303228446,76.09471706868041,0
1504742400000,2305795.13638315,3070,240.683949,40.595014303228446,81.47119795837419,1
1504828800000,4866527.22639337,4733,465.962119,40.595014303228446,50.87599817391242,0
1504915200000,2815383.46568698,3777,287.989805,40.595014303228446,49.08059482558623,0
1505001600000,2700371.80819211,3435,291.786887,40.595014303228446,39.468189404201496,-1
1505088000000,2956842.76250147,4228,322.19833,20.0,45.313166540686616,1
1505174400000,3725190.62328952,6501,451.78067,16.0,41.96409193303351,0
1505260800000,3570365.92571669,5019,363.053413,12.0,25.57196207126233,0
1505347200000,5914261.40460825,9066,761.153976,100.0,1.3466286371374068,-1
1505433600000,6588767.18669446,10445,966.122245,100.0,41.60796158685133,0
1505520000000,4804878.24721283,8809,624.887842,96.0,45.54445904067275,1
1505606400000,2466490.27859466,6355,273.931976,92.0,44.785680592821,-1
1505692800000,4069033.05715863,8220,417.638722,88.0,61.778057304003376,1
1505779200000,3558315.19743872,7342,257.320352,84.0,55.43951835827935,0
1505865600000,2839584.45308804,7231,395.275138,80.0,54.9302846940794,0
1505952000000,3757043.07821264,8714,517.258926,76.0,41.336224646708935,0
1506038400000,3031771.43292849,8152,511.059869,72.0,48.388439507461385,-1
1506124800000,2799706.99951511,8402,431.94671,68.0,61.04247618202447,1
1506211200000,2445788.43620041,8724,290.93917,64.0,53.43720485043642,-1
1506297600000,2784170.85318322,9740,298.839159,60.0,69.96431265411165,1
1506384000000,2061195.57868009,7971,225.570283,56.00000000000001,79.00962636645454,-1
1506470400000,2554629.81447101,8373,348.083641,52.0,96.02635141736572,1
1506556800000,3553178.87037354,11426,364.517452,48.0,91.53742414025623,-1
1506643200000,6571746.35900076,14834,660.408235,44.0,84.89039477174616,0
1506729600000,3088354.40084536,9324,292.966693,40.0,99.8308701673137,1
1506816000000,3137143.89184457,9816,291.975904,36.0,96.88779870583916,-1
1506902400000,2905282.77570845,8185,289.541406,32.0,82.80149231118854,1
1506988800000,4627422.74283879,12379,492.735181,28.000000000000004,76.17320657525944,0
1507075200000,3676415.10054891,11006,292.928777,24.0,66.57071433982274,-1
1507161600000,3295532.82397779,9158,351.042019,20.0,74.50950685554126,0
1507248000000,2212035.12414239,6546,226.148177,16.0,81.09097691220354,0
1507334400000,1302533.21459281,4804,145.313076,12.0,85.23437749635198,0
1507420800000,2347356.46944654,7580,280.094854,8.0,98.20772470651492,0
1507507200000,3040508.90436387,10372,350.756559,4.0,90.09260238669911,1
1507593600000,5044283.86347582,11967,678.832674,0.0,83.72501586659189,-1
1507680000000,3609240.90903919,5895,540.087975,0.0,86.25283980991877,0
1507766400000,6659759.29119366,8030,796.594719,0.0,99.32862000833346,0
1507852800000,10597340.30104987,11663,878.638077,16.0,88.69983930145085,0
1507939200000,5533972.4859947,6259,433.794904,12.0,98.32346368715082,1
1508025600000,7553650.20132813,7452,601.422361,8.0,88.2850521436848,-1
1508112000000,8701914.79553535,9153,719.218538,4.0,91.04563262153069,1
1508198400000,8041662.31881055,9755,688.766779,0.0,81.94007614633338,0
